,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Genre,Theme,Demographic,Spanish,German,French,Demographics
148,剑域风云,The Legend of Sword Domain,['ONA'],40,Finished Airing,"Nov 28, 2021 to Apr 6, 2022",,,['Youku'],"None found,",['Ruo Hong Culture'],Original,"['Action', 'Adventure', 'Fantasy']",,10 min. per ep.,PG-13 - Teens 13 or older,6.90,#4828,#11741,"2,088",22,658,"In the ancient sword domain continent, there are ten Excalibur and five families. One of the five families, Lu Yang, a descendant of the Lu family, in a crisis to escape from the pursuit of the moment of awakening the sacred sword ""Peach God sword"", to avoid the pursuit. He kept a low profile, practiced hard, avenged his mother, explored the truth, in the various big clans between the forces of the struggle mediation, and finally dominate the world! Ten swords, ask the sword domain continent. ""The Legend Of Sword Domain"" (Source: Narul Donghua)","['Sequel (ONA) Jian Yu Feng Yun 2nd Season', '']",Jian Yu Feng Yun,Jian Yu Chuanqi,,['Martial Arts'],,,,,
149,爸妈来自二次元,My ACG Parents,['ONA'],24,Finished Airing,"Oct 10, 2021 to Dec 26, 2021",,,['bilibili'],"None found,",['Paper Animation'],['Manga'],,,4 min. per ep.,PG-13 - Teens 13 or older,6.40,#7712,#12143,"1,856",4,331,"Tong Qi, a girl who has been indoctrinated with otaku culture by her parents since she was a child, tries her best not to have anything to do with ""otaku"". She has always regarded her classmate, Yang Wei, a pure three-dimensional sunshine boy, as her idol, but one day, she heard the word ""fujoshi"" from the mouth of this ""idol"". (Source: AniList)",[],Ba Ma Laizi Er Ciyuan,"My Parents are Otakus, Otaku's Offspring",['Comedy'],['School'],,,,,
150,万古剑神,Everlasting God Of Sword,['ONA'],38,Finished Airing,"Oct 30, 2021 to Jul 2, 2022",,,['Youku'],"None found,","None found,",Novel,"['Action', 'Fantasy', 'Supernatural']",,11 min. per ep.,PG-13 - Teens 13 or older,6.43,#7534,#12302,"1,747",3,232,He stood at the pinnacle of the world. Surpassing all since birth in the art of the sword. But fate has left him crippled moments before reaching the apex. But the story continues and the legend will rise again. (Source: AniDB),[],Wangu Jian Shen,,,['Martial Arts'],,,,,
151,猫之茗,Cat's Tea,['ONA'],12,Finished Airing,"Oct 26, 2021 to Jan 11, 2022",,,['bilibili'],"None found,","None found,",['Web manga'],,,9 min. per ep.,G - All Ages,6.76,#5536,#12427,"1,680",10,426,"After a severe scolding from her mother, 15-year-old high school student Jasmine rushes to class in hopes of making it on time. But when a strange storm suddenly hits, lightning strikes down on Jasmine and renders her unconscious. Instead of waking up in the hospital, the girl opens her eyes to a cute, dog-eared boy named Longjing. What's more, Jasmine realizes she now possesses a pair of fluffy cat ears! Figuring she simply has a case of amnesia, Longjing offers to help guide Jasmine around the Tea Continent. Little does he know, she is more than excited to explore this RPG-styled world and fulfill her apparent destiny as the main character. [Written by MAL Rewrite]","['Sequel (ONA) Mao Zhi Ming 2nd Season', '']",Mao Zhi Ming,,['Comedy'],,,,,,
152,幻游猎人,,['ONA'],12,Finished Airing,"Dec 25, 2021 to Mar 5, 2022",,,"['Tencent Penguin Pictures', 'Colored Pencil Animation Japan', 'Yuewen Animation & Comics']","None found,",['Colored Pencil Animation'],Novel,"['Adventure', 'Sci-Fi']",,20 min. per ep.,PG-13 - Teens 13 or older,5.95,#10209,#12491,"1,646",6,234,"In 2079 the birth of the brainwave instrument BrainStation triggered the fourth industrial revolution. Mankind has ushered in a brand new era-the ""virtual cyber age"". Through the use of a BrainStation, people can connect to an all encompassing cyber world. This virtual world is constructed like a neural network and the entire system is controlled and dispatched by the master brain Watson. However, over time issues are starting to surface: many people can't distinguish between virtual and reality, leading to psychosis and long-term addiction to the virtual world. (Source: QQ, translated, edited)",[],Huan You Lieren,"Huan You Lie Ren, Fantasy Hunter, Fantasy x Hunter, Phantom Hunter",,,,,,,
153,『RabbiTube』クリエイターにチャレンジ！,,['ONA'],16,Finished Airing,"Jan 24, 2020 to Dec 5, 2021",,,['Bandai Namco Online'],"None found,",['DandeLion Animation Studio'],Game,,,9 min. per ep.,G - All Ages,7.14,#3708,#12588,"1,593",10,507,Short videos are released each month on YouTube to celebrate the character's birthdays.,[],RabbiTube: Creator ni Challenge!,,['Comedy'],['Idols (Male)'],,,,,
154,Artiswitch Picture Drama,,['ONA'],5,Finished Airing,"Dec 3, 2021 to Feb 4, 2022",,,"None found,","None found,",['Sunrise'],Original,"['Slice of Life', 'Supernatural']",,5 min. per ep.,PG-13 - Teens 13 or older,6.57,#6620,#12583,"1,595",4,582,Picture drama exploring more the story of Artiswitch characters.,[],Artiswitch Picture Drama,,,,,,,,
155,KAIJU DECODE 怪獣デコード,,['ONA'],1,Finished Airing,"Dec 13, 2021",,,"None found,","None found,","['Tsuburaya Productions', 'ARECT']",Original,,,9 min.,PG-13 - Teens 13 or older,5.81,#10904,#12656,"1,560",1,114,"The catastrophe ""Skyfall"" was brought by the collapsed orbital space colony crashed into the Earth. Inside the crater at the crash site now inhabit Kaiju born by gene mutation. Ray, an avatar,.. (Source: Thessaloniki Animation Film Festival)",[],Kaiju Decode,,,,,,,,
156,神医九小姐,Great Doctor Miss Nine,['ONA'],60,Finished Airing,"Nov 30, 2021 to Jun 14, 2022",,,['Tencent Penguin Pictures'],"None found,",['Suoyi Technology'],Novel,"['Fantasy', 'Romance']",,10 min. per ep.,PG-13 - Teens 13 or older,6.63,#6347,#12883,"1,451",9,406,"Doctor and research specialist Jun Jiu finds herself the victim of a spiked drink in a business plot. Having been pulled into a wormhole by an unfamiliar girl, Jun Jiu inadvertently swaps souls with her and is transmigrated into an unknown cultivation world as the daughter of the Jun family. After deciding to take revenge on those who had wronged the previous owner of her body, Jun Jiu saves a sealed Mo Wuyue without realizing his true identity. With firm determination and knowledge from her previous life, Jun Jiu walks on the path of cultivation along with her mystic cat, while Mo Wuyue supports her from the shadows despite his aloof facade. [Written by MAL Rewrite]","['Sequel (ONA) Shenyi Jiu Xiaojie 2nd Season', '']",Shenyi Jiu Xiaojie,,,,,,,,
157,人间最得意,Proud Swordsman,['ONA'],60,Finished Airing,"Oct 27, 2021 to May 11, 2022",,,['Tencent Penguin Pictures'],"None found,",['Suoyi Technology'],Novel,"['Action', 'Fantasy']","['Martial Arts', 'Mythology']",12 min. per ep.,PG-13 - Teens 13 or older,6.71,#5873,#13051,"1,383",7,360,"Six thousand years later, the once prosperous Sword Stream had declined, relying only on the Sword God Chao Qingqiu to support the current Swordsman Flow to fight the twelve saints of the Three Streams. Li Fuyao had great hatred. To make a living by telling a story in a small town, go to Jianshan, go to the land of the devil, and go to the land of Buddhism. After taking revenge, I realized that there was a huge conspiracy all over the world. Why did the Sword Stream begin to decline six thousand years ago? Why couldn’t the saints and Sword Gods of six thousand years be unable to obtain Immortality? Why did Chao Qingqiu live in the world with suspended animation? What exactly are lanterns in Buddhism? Is the dragon in the Land of Devils a visitor from the outside world? What’s there? All these things unfolded step by step as Li Fuyao continued to grow. (Source: Animexin)","['Sequel (ONA) Renjian Zui Deyi 2nd Season', '']",Renjian Zui Deyi,,,,,,,,
158,万域封神,Lord of Planet,['ONA'],60,Finished Airing,"Dec 28, 2021 to Jul 12, 2022",,,"None found,","None found,",['Suoyi Technology'],Novel,"['Action', 'Fantasy']",,12 min. per ep.,PG-13 - Teens 13 or older,6.50,#7061,#13102,"1,358",11,325,"Yun Fei Xue's father, Yun Tiangang, and his brother, Yun Fei Shan, were tragically assassinated eight years ago during a mission to escort a dragon vein. Only the young Yun Feixue is left in the Yun family’s bloodline, and Yun Feixue is also mysterious. Parasitized by power, that power unexpectedly merged with Yun Feixue, and transformed into a phantom exactly like him. The phantom was parasitized in Yun Feixue's consciousness, and he was always ready to accumulate power and devour his soul. Yun Feixue, who had just suppressed the phantom in his body, received the sad news of his father and brother's tragic death. He was idle in the dark, but behind his back he gathered an organization called ""Shadow"" to secretly investigate the mystery of the year. (Source: Narul Donghua)","['Sequel (ONA) Wan Yu Feng Shen 2nd Season', '']",Wan Yu Feng Shen,,,,,,,,
159,腐男子召喚〜異世界で神獣にハメられました〜 2nd,,['ONA'],3,Finished Airing,"Nov 3, 2021 to Nov 17, 2021",,,"None found,","None found,",['AQUA ARIS'],['Web manga'],"['Boys Love', 'Fantasy']",,2 min. per ep.,PG-13 - Teens 13 or older,5.67,#11521,#13137,"1,352",0,469,Second season of Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita.,"['Prequel (ONA) Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita', 'Sequel (ONA) Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita 3rd Season', 'Adaptation (Manga) Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita', '']",Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita 2nd Season,,,['Isekai'],,,,,
160,バトルスピリッツミラージュ,,['ONA'],4,Finished Airing,"Oct 29, 2021 to Apr 1, 2022",,,"None found,","None found,",['Bandai Namco Pictures'],Card game,"['Adventure', 'Sci-Fi']","['Military', 'Mythology', 'Strategy Game']",24 min. per ep.,PG-13 - Teens 13 or older,6.29,#8333,#13648,"1,176",4,219,Sequel to Battle Spirits: Kakumei no Galette.,"['Prequel (ONA) Battle Spirits: Kakumei no Galette', '']",Battle Spirits: Mirage,,,,,,,,
161,邪神ちゃんまめアニメ,,['ONA'],30,Finished Airing,"Oct 28, 2021 to Feb 4, 2023",,,"None found,","None found,",['Nomad'],['Web manga'],,,1 min. per ep.,G - All Ages,5.94,#10230,#13851,"1,108",4,301,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Jashin-chan Mame Anime,邪神ちゃんドロップキックX まめアニメ,['Comedy'],,,,,,
162,蜀山奇仙录,Legend of Sho,['ONA'],10,Finished Airing,"Dec 8, 2021 to Feb 2, 2022",,,['Tencent Penguin Pictures'],"None found,",['Wawayu Animation'],['Manga'],,,15 min. per ep.,PG-13 - Teens 13 or older,5.94,#10255,#14017,"1,065",6,196,"During the An Lushan Rebellion of the Tang Dynasty, monsters are everywhere and the people were destitute in the Central Plains. Li Haobai started from the Bashu and wanted to go to the front line to make a meritorious deed. On the way he was swallowed by the monster. By coincidence, Li Haobai and the guardian of the dragon’s veins merged with each other to obtain the power of the black dragon. And he has since been involved in the struggle of various forces. (Source: wawayu.tv)","['Sequel (ONA) Shu Shan Qi Xian Lu 2nd season', '']",Shu Shan Qi Xian Lu,,['Fantasy'],,,,,,
163,洒落どる,,['ONA'],1,Finished Airing,"Oct 25, 2021",,,['Sotsu'],"None found,","['Toei Animation', 'Dangun Pictures']",Original,,"['Historical', 'Idols (Female)', 'Music']",2 min.,PG-13 - Teens 13 or older,6.44,#7437,#14056,"1,058",1,423,"The time is the Edo period Kansei year. Under the ""Kansei Reforms"" by Roujuu Sadanobu Matsudaira, the people's entertainment was severely cracked down. Everyday life is somewhat stuffy, like a bird trapped in a basket. Meanwhile, the girls who live with their own worries. At that time, history moves. A man from current Japan explodes their thoughts as ""idols!"" (Source: Official YouTube channel)",[],Sharedol,Sharedol Pilot,,,,,,,
164,镜·双城,The Mirror: Twin Cities,['ONA'],18,Finished Airing,"Nov 15, 2021 to Feb 14, 2022",,,['Foch Film'],"None found,","None found,",Novel,"['Action', 'Adventure', 'Fantasy']",,19 min. per ep.,R - 17+ (violence & profanity),6.78,#5439,#14414,951,12,227,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Jing: Shuang Cheng,,,,,,,,
165,山神与小枣,God of Mountains and Jujube,['ONA'],18,Finished Airing,"Dec 17, 2021 to Apr 8, 2022",,,"None found,","None found,","None found,",['Manga'],"['Fantasy', 'Romance', 'Slice of Life', 'Supernatural']",,13 min. per ep.,PG-13 - Teens 13 or older,[],#14016,#14481,939,1,,"Xiaozao is a girl who always brings misfortune to others. She has to move into a temple named God of Mountains Temple where lives a real god of mountains. Xiaozao met the god when she was a young girl and it seems it’s the god who cursed her. But, later on, they fall in love with each other! And their love story began much earlier than they thought? (Source: Mangatoon, edited)",[],Shanshen Yu Xiaozao,Shanshen Yu Xiao Zao,,,,,,,
166,《鲤氏侦探事务所》迷你剧先行短片 - Home Service,Lee's Detective Agency: A Day in Lungmen - Home Service,['ONA'],1,Finished Airing,"Oct 24, 2021",,,"None found,","None found,","['HMCH', 'Gravity Well']",Game,"['Action', 'Comedy', 'Mystery']","['Anthropomorphic', 'Detective']",3 min.,PG-13 - Teens 13 or older,6.26,#8529,#14658,895,0,286,"Infiltrating, disguising, and raiding. Tonight, a special mission calls for special maneuvers, and our resourceful, valiant agents at Lee's Detective agency are ready to make the breakthrough! (Source: YouTube)",[],Li Shi Zhentan Shiwusuo: A Day in Lungmen - Home Service,Lee's Detective Agency: A Day in Lungmen Pilot,,,,,,,
167,风起洛阳之神机少年,Luoyang,['ONA'],16,Finished Airing,"Dec 17, 2021 to Mar 18, 2022",,,"['iQIYI', 'High Energy Studio']","None found,",['Chosen'],Original,"['Action', 'Adventure', 'Fantasy']",,19 min. per ep.,PG-13 - Teens 13 or older,6.46,#7352,#14877,834,3,218,"During the Wu Zhou period, Wu Zetian's imperial examination system severely hindered the interests of the traditional aristocrats. They were prepared to prevent Wu Zetian from ascending the throne. The protagonist Pei Kun came to the divine city Luoyang and was involved in the conspiracy of Chun Qiudao. Through a series of accidents, he tears apart this huge conspiracy. (Source: Iqiyi)","['Sequel (ONA) Feng Qi Luoyang: Shuangzi Zhui Xiong', '']",Feng Qi Luoyang: Shen Ji Shaonian,,,['Historical'],,,,,
168,ヒスイ小噺,Pokémon Kids TV: Hisuian Voltorb is Berry Sorry,['ONA'],2,Finished Airing,"Dec 10, 2021 to Dec 14, 2021",,,"None found,","None found,",['dwarf'],Game,,,1 min. per ep.,PG - Children,5.69,#11440,#15114,782,0,335,It's said that Hisuian Voltorb has a friendly personality...but it frequently shocks nearby Pokémon when it gets excited. See what happens when Hisuian Voltorb gets carried away! (Source: Official YouTube Channel),[],Hisui Kobanashi,Pokémon stop motion animation,['Comedy'],,['Kids'],,,,
169,VERSEⁿ - Episodeⁿ | 空想,,['ONA'],1,Finished Airing,"Nov 12, 2021",,,"None found,","None found,",['Enishiya'],Original,,,1 min.,PG-13 - Teens 13 or older,6.37,#7877,#15272,743,1,290,Animated promotion for VTuber project VERSEⁿ.,[],VERSEⁿ: Episodeⁿ - Kuusou,,['Fantasy'],,,,,,
