,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Synonyms,Genre,German,Spanish,Demographics,French
237,アイカツ！ 10th STORY ～未来へのSTARWAY～,,['Movie'],1,Finished Airing,"Jan 20, 2023",,,"None found,","None found,",['Bandai Namco Pictures'],Original,,"['Idols (Female)', 'Music']",,48 min.,PG - Children,7.91,#797,#12047,"1,909",29,597,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (Movie) Aikatsu! 10th Story: Mirai e no Starway', '']",Aikatsu! 10th Story: Mirai e no Starway (2023),,,,,,,
238,藝術學院,,['Movie'],1,Finished Airing,"Feb 24, 2023",,,"None found,","None found,","None found,",Original,,"['Historical', 'School', 'Visual Arts']",,1 hr. 58 min.,PG-13 - Teens 13 or older,[],#19260,#15227,754,1,,"In the 1990s, a group of students on the campus of the Chinese Southern Academy of Arts are pursuing their studies and preparing to face the world. China is opening up to the West and the students’ lives are a tangle of love stories and friendships, artistic research, ideals and ambitions brought about by new influences. Caught between tradition and modernity, they have to decide who they want to become. (Source: Berlin International Film Festival)",[],Art College 1994,,,['Slice of Life'],,,,
239,山中貞雄に捧げる漫画映画『鼠小僧次郎吉』,"Manga Cinema dedicated to Sadao Yamanaka ""Nezumikozo Jirokichi""",['Movie'],1,Finished Airing,"Mar 20, 2023",,,['Genco'],"None found,","['Studio M2', 'Miyu Productions']",Original,,,,25 min.,PG-13 - Teens 13 or older,[],#15956,#16307,581,0,,"As the 808 towns of Edo are enveloped in the darkness of night, someone rustling in the attic appears. Nezumi Kozo Jirokichi is a noble thief who takes wealth from the wealthy and distributes it among the poor. Osuzu is a townswoman who has lost her husband and is living a difficult life with her young child. Bonji Yasugoro and Chogoro try to use Osuzu to uncover Nezumi Kozo's true identity. Okahiki Kanemon is renowned for hating the sin but not the sinner. Sadao Yamanaka, the film director, has a dream of a melancholic human drama set in the streets of Edo... (Source: Official Website, translated)",[],"Yamanaka Sadao ni Sasageru Manga Eiga ""Nezumikozou Jirokichi""",['Historical'],,,,,,
240,妖怪ウォッチ♪ ジバニャンVSコマさん もんげー大決戦だニャン,,['Movie'],1,Finished Airing,"Jan 13, 2023",,,"None found,","None found,","None found,",Game,"['Comedy', 'Supernatural']",,['Kids'],40 min.,G - All Ages,[],#16099,#18632,370,0,,"One day, a mysterious event suddenly occurred. For some reason, Jibanyan's favorite sweet: Chocobars, and Komasan's favorite: soft-serve ice cream, began to disappear from this world one after another. Why? A mysterious Yo-kai appears and tells them, ""The way to bring Chocobars and soft-serve ice cream back to this world is for Jibanyan and Komasan to fight."" Meanwhile, Hovernyan and Komasan's sister, Komami, who is a spy, discover that there is a Yo-kai behind this incident. There was a great conspiracy hidden. In addition, the unprecedented crisis surrounding Lord Emma, the strongest being in the Yo-kai World, is revealed! Where is Jibanyan VS Komasan? And who is the mastermind behind the incident? (Source: Yo-kai Watch Wiki)",[],Youkai Watch ♪ Movie 8: Jibanyan vs. Komasan - Monge Daikessen da Nyan,['Mythology'],,,,,,
241,スポGOMI まちの絆づくり編,,['Movie'],1,Finished Airing,"Mar 7, 2023",,,"None found,","None found,",['AION Studio'],Original,,,,26 min.,G - All Ages,[],#14559,#20558,252,2,,"Although several years have passed since the SpoGomi exhibition match, recognition of the sport in Japan remains low. Akari and Tokio visited various places and worked to spread SpoGomi. Meanwhile, it has been decided that the SpoGomi World Cup will be held near Okawa, a river in a certain city. (Source: U-NEXT, translated)","['Prequel (ONA) SpoGomi: World Cup Exhibition Match-hen', '']",SpoGomi: Machi no Kizunazukuri-hen,,,['Sports'],,,,
242,プラネタリウムちびまる子ちゃん　南十字星に魅せられて,,['Movie'],1,Finished Airing,"Mar 24, 2023",,,"None found,","None found,","None found,",Unknown,"['Comedy', 'Sci-Fi']",,['Kids'],40 min.,None,[],#18583,#21951,176,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Planetarium Chibi Maruko-chan: Minamijuujisei ni Miserarete,['Space'],,,,,,
243,엄마의 땅: 그리샤와 숲의 주인,Mother Land,['Movie'],1,Finished Airing,"Jan 25, 2023",,,"None found,","None found,",['Studio Yona'],Original,"['Adventure', 'Drama', 'Fantasy']",,,1 hr. 8 min.,G - All Ages,[],#20516,#23159,130,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Eommaui Ttang: Geulisyawa Supui Juin,,,,,,,
244,熊出没·伴我“熊芯”,Boonie Bears: Guardian Code,['Movie'],1,Finished Airing,"Jan 22, 2023",,,"None found,","None found,","None found,",Original,"['Adventure', 'Comedy', 'Sci-Fi']",,['Kids'],1 hr. 35 min.,PG - Children,[],#15851,#23307,126,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],"Xiong Chumo: Ban Wo ""Xiong Xin""",,,,,,,
245,ダイヤをさがせ！うそつきカラスと春の星座たち,,['Movie'],1,Finished Airing,"Mar 4, 2023",,,"None found,","None found,","None found,",Unknown,"['Adventure', 'Fantasy', 'Sci-Fi']","['Anthropomorphic', 'Space']",['Kids'],30 min.,None,[],#20242,#23716,116,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Diamond wo Sagase! Usotsuki Karasu to Haru no Seiza-tachi,,,,,,,
246,캐리와 슈퍼콜라,,['Movie'],1,Finished Airing,"Jan 18, 2023",,,"None found,","None found,","None found,",Original,,,['Kids'],1 hr. 19 min.,PG - Children,[],#19774,#24066,109,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Carrie & Superkola,,,['Sci-Fi'],,,,
247,克拉和玛依历险记,The Adventure of Kara and Mayi,['Movie'],1,Finished Airing,"Mar 22, 2023",,,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",,['Kids'],1 hr. 34 min.,PG - Children,[],#16831,#25619,85,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Kara He Mayi Lixian Ji,,,,,,,
248,ドラえもん&SF短編「宇宙からのオトシダマ」,,['Movie'],1,Finished Airing,"Feb 9, 2023",,,"None found,","None found,","None found,",['Manga'],"['Adventure', 'Sci-Fi']",,['Kids'],Unknown,PG - Children,[],#20352,#25499,87,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Doraemon & SF Tanpen: Sora kara no Otoshidama,,,,,,,
249,進撃の巨人 The Final Season完結編,Attack on Titan: Final Season - The Final Chapters,['TV Special'],2,Finished Airing,"Mar 4, 2023 to Nov 5, 2023",,,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprises']",['Funimation'],['MAPPA'],['Manga'],"['Action', 'Drama', 'Suspense']","['Gore', 'Military', 'Survival']",['Shounen'],1 hr. 12 min. per ep.,R - 17+ (violence & profanity),8.87,#25,#290,"742,989","16,314",443376,"In the wake of Eren Yeager's cataclysmic actions, his friends and former enemies form an alliance against his genocidal rampage. Though once bitter foes, Armin Arlert, Mikasa Ackerman, and the remaining members of the Scout Regiment join forces with Reiner Braun and the survivors of the Marleyan military. Their meager united front sets out on a mission to stop Eren's wrath and—if possible—save their old comrade in the process. As Eren pushes forward at any cost, he battles his own internal turmoil. Although he feels immense remorse over his horrific invasion, Eren believes he harbors noble intentions: he believes the path ahead is the only way to save his friends and, to a greater extent, his people. The opposing battalions spiral toward an inevitable final clash that may claim the lives of millions. Though they face an army of monsters beyond anything they could have previously imagined, Mikasa, Armin, and their allies stand brave in the face of certain doom. [Written by MAL Rewrite]","['Prequel (TV) Shingeki no Kyojin: The Final Season Part 2', 'Adaptation (Manga) Shingeki no Kyojin']",Shingeki no Kyojin: The Final Season - Kanketsu-hen,,"Shingeki no Kyojin: The Final Season Part 3, Shingeki no Kyojin Season 4, Attack on Titan Season 4",,,,,
250,犬になったら好きな人に拾われた。OVA,My Life as Inukai-san’s Dog. OVA,['Special'],2,Finished Airing,"Mar 29, 2023 to Apr 26, 2023",,,"['King Records', 'WWWave']","None found,",['Quad'],['Web manga'],"['Comedy', 'Ecchi']",,,12 min. per ep.,R+ - Mild Nudity,5.32,#12644,#4872,"22,720",77,10135,"Dog Pool. Worried about her weight, Karen Inukai decides to head to the pool and invites her friend Mike Nekotani to come along. Unbeknownst to the dog-phobic Nekotani, their destination is no regular swimming pool—it is a dog pool, where Inukai plans to play with her beloved Pochita. Unfortunately for the trio, Nekotani's fear of dogs soon puts their day of peaceful recreation in jeopardy. Gakuensai Date. The school festival is here, and Inukai has finally gotten a break from working at her class' dog cafe. She takes this opportunity to bring Pochita on a date, but the two immediately run into Inukai's self-proclaimed rival for Pochita's affection, Usagi Tsukishiro, who insists on tagging along. Their tour of the festival attractions soon brings them to a haunted house. When the horrors inside prove too much for both Inukai and Tsukishiro to handle, it is up to Pochita to calm the girls down. [Written by MAL Rewrite]","['Adaptation (Manga) Inu ni Nattara Suki na Hito ni Hirowareta.', '']",Inu ni Nattara Suki na Hito ni Hirowareta. Specials,,,,,,,
251,EVANGELION:3.0(−46h),,['Special'],1,Finished Airing,"Mar 8, 2023",,,"None found,",['GKIDS'],['Khara'],Original,,,,10 min.,PG-13 - Teens 13 or older,7.13,#3753,#6171,"12,422",38,4363,Unaired footage included on the BD release of Evangelion: 3.0+1.0 Thrice Upon a Time.,[],Evangelion: 3.0 (-46h),['Mecha'],,['Sci-Fi'],,,,
252,Buddy Daddies Intermission: Cherry-Pick,,['TV Special'],1,Finished Airing,"Mar 4, 2023",,,"['Aniplex', 'Movic', 'Nitroplus', 'Tokyo MX', 'Nagoya Broadcasting Network', 'BS11', 'Bit grooove promotion']",['Crunchyroll'],['P.A. Works'],Original,"['Action', 'Comedy']","['Childcare', 'Organized Crime']",,24 min.,PG-13 - Teens 13 or older,6.73,#5739,#6821,"9,800",23,4189,Recap of the first 8 episodes of Buddy Daddies.,[],Buddy Daddies Intermission: Cherry-Pick,,Buddy Daddies Recap,,,,,
253,ふしぎの海のナディア おまけ劇場,Nadia: Secret of Blue Water Specials,['Special'],10,Finished Airing,"Dec 21, 1991",,,"None found,","None found,",['Gainax'],Original,"['Adventure', 'Sci-Fi']",,,4 min. per ep.,PG-13 - Teens 13 or older,6.50,#7087,#9012,"4,855",6,1434,Bonus episodes included on the Laserdisc box release of Nadia that expands on the world of the series. They were later rereleased in the DVD and Blu Ray box sets of the series in Japan.,[],Fushigi no Umi no Nadia Omake Gekijou,,Fushigi no Umi no Nadia Specials,,,,,
254,あやかしトライアングル 総集編,Ayakashi Triangle Special Recap,['TV Special'],1,Finished Airing,"Mar 21, 2023",,,"None found,","None found,",['Connect'],['Manga'],"['Action', 'Comedy', 'Romance', 'Supernatural', 'Ecchi']","['Magical Sex Shift', 'Mythology']",['Shounen'],23 min.,R+ - Mild Nudity,5.69,#11429,#9915,"3,632",8,1399,Recap of the first 6 episodes of Ayakashi Triangle.,[],Ayakashi Triangle Recap,,,,,,,
255,にじよんあにめーしょん,Nijiyon Animation Specials,['Special'],3,Finished Airing,"Mar 29, 2023",,,"['Bushiroad', 'Kadokawa', 'Bandai Namco Filmworks', 'Bandai Namco Music Live']","None found,",['Sunrise'],['4-koma manga'],,"['CGDCT', 'Idols (Female)']",,3 min. per ep.,PG-13 - Teens 13 or older,6.70,#5889,#10659,"2,898",3,1036,Three un-aired episodes bundled on the Nijiyon Animation Blu-ray BOX.,"['Adaptation (Manga) Nijiyon: Love Live! Nijigasaki Gakuen School Idol Doukoukai Yonkoma', '']",Nijiyon Animation Specials,,Nijiyon Animation Episodes 13-15,['Comedy'],,,,
256,3年Z組銀八先生,,['Special'],1,Finished Airing,"Mar 19, 2023",,,['Trinity Sound'],"None found,",['Bandai Namco Pictures'],['Light novel'],,,,1 min.,PG-13 - Teens 13 or older,7.38,#2434,#11649,"2,157",6,1052,Announcement for 3-nen Z-gumi Ginpachi-sensei.,[],3-nen Z-gumi Ginpachi-sensei Announcement Special,,,['Comedy'],,,,
257,名探偵コナン 警察学校編 Wild Police Story CASE.降谷零,Detective Conan: Police Academy Arc Wild Police Story - Case. Furuya Rei,['Special'],1,Finished Airing,"Mar 11, 2023",,,"None found,","None found,","None found,",['Manga'],"['Adventure', 'Comedy', 'Mystery']",,['Shounen'],25 min.,PG-13 - Teens 13 or older,7.07,#4078,#13062,"1,380",2,526,Final epsiode of Keisatsu Gakkou-hen Wild Police Story that aired between episodes 1076 and 1077 of Detective Conan as a special.,"['Adaptation (Manga) Meitantei Conan: Keisatsu Gakkou-hen - Wild Police Story', '']",Meitantei Conan: Keisatsu Gakkou-hen Wild Police Story - Case. Furuya Rei,['Detective'],Meitantei Conan Episode 1076.5,,,,,
258,UniteUp! 8.5話「振り返らないと」,UniteUp! Let's Look Back & Unite,['TV Special'],1,Finished Airing,"Mar 18, 2023",,,"['Aniplex', 'Sony Music Entertainment']","None found,",['CloverWorks'],Music,,"['Idols (Male)', 'Music']",,24 min.,PG-13 - Teens 13 or older,6.15,#9135,#14622,906,4,235,Recap of the first 8 episodes of UniteUp!,[],UniteUp! Furikaeranai to,,"UniteUp! Recap, UniteUp! Episode 8.5",,,,,
259,黒子のバスケ バスケ教室,Kuroko's Basketball: Basketball Classroom,['Special'],1,Finished Airing,"Mar 24, 2023",,,"None found,","None found,",['Production I.G'],['Manga'],,,['Shounen'],24 min.,PG-13 - Teens 13 or older,6.37,#7849,#15560,691,1,159,An original picture drama included with the Kuroko no Basket Thanks Disc: 10th Anniversary BD/DVD.,[],Kuroko no Basket: Basket Kyoushitsu,['Team Sports'],"Kuroko no Basket Picture Drama, Kuroko's Basketball Picture Drama",['Sports'],,,,
260,それしか ないわけ ないでしょう,,['TV Special'],1,Finished Airing,"Mar 22, 2023",,,"['Hakusensha', 'Studio Nanahoshi', 'NHK Enterprises']","None found,",['NHK Art'],Picture book,,,['Kids'],9 min.,G - All Ages,[],#14536,#20228,270,1,,"The story centers on a girl who worries too much about the future, and her grandmother who tells her that the future has many possibilities. Through her family, the girl learns a fun way to view the future. (Source: ANN)",[],Sore Shikanai Wakenai deshou,,,,,,,
261,おしりたんてい コズミックフロント,,['TV Special'],2,Finished Airing,"Mar 18, 2023 to Mar 25, 2023",,,"None found,","None found,",['Toei Animation'],Picture book,"['Comedy', 'Fantasy', 'Mystery']",,['Kids'],25 min. per ep.,PG - Children,[],#18411,#24686,98,0,,"Educational collaboration specials between Oshiri Tantei and the documentary show Cosmic Front. Mikku will help the Butt Detective solve a case, while also teaching the newest facts about dinosaur research and space rockets. (Source: ANN)",[],Oshiri Tantei: Cosmic Front,['Detective'],Butt Detective: Cosmic Front,,,,,
