,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Genres,Themes,Demographic,Spanish,Demographics
59,Himechan! Otogitic Idol Lil'Pri,ひめチェン! おとぎちっくアイドル リルぷりっ,Spellbound! Magical Princess Lilpri,['TV'],51,Finished Airing,"Apr 4, 2010 to Mar 27, 2011",['Spring 2010'],Sundays at 09:00 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'Half H.P Studio']","None found,",['TMS Entertainment'],Game,['Fantasy'],['Mahou Shoujo'],24 min. per ep.,PG - Children,6.96,#4553,#6343,"11,588",52,4451,"The Fairytale World is in trouble. Its princesses and their respective worlds are disappearing, causing a ripple effect in the human world where their stories are popular. In order to save the Fairytale World, the Queen sends three magic animals, Sei, Dai, and Ryoku, to the human world with magic gems to find three girls who can become the ""Super Miracle Idols,"" the princesses Snow White, Cinderella, and Kaguya-hime. Those ""princesses"" end up being three little girls: Yukimori Ringo, Takashiro Layla, and Sasahara Natsuki. But the gems transform them into older singing superstars, and after their accidental debut at the singer Wish's concert, they become known as ""Little Princesses,"" or ""LilPri."" Now they must collect Happiness Tones from humans in order to restore the Fairytale World.","['Adaptation (Manga) Lilpri', '']",Hime Chen! Otogi Chikku Idol Lilpri,Spellbound! Magical Princess Lilpri,Spellbound! Magical Princess Lilpri,,,,Spellbound! Magical Princess Lilpri,
60,,サザエさん,Mrs. Sazae,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],,,24 min.,G - All Ages,6.14,#9129,#7131,"8,800",39,1933,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,"['Comedy', 'Slice of Life']",,,,
61,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",忍たま乱太郎,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],['Comedy'],,10 min.,G - All Ages,7.08,#4017,#7391,"8,012",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,,,,,['Kids'],El Ninja Boy Rantaró,
62,Maruko-chan,ちびまる子ちゃん,Little Miss Maruko,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],['Comedy'],['School'],23 min.,G - All Ages,7.34,#2626,#7914,"6,770",62,2183,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),,,,,['Shoujo'],Chibi Maruko-chan,
63,BB Senshi,SDガンダム三国伝 Brave Battle Warriors,,['TV'],51,Finished Airing,"Apr 3, 2010 to Mar 19, 2011",['Spring 2010'],Unknown,"['Sotsu', 'TV Tokyo Music']",['Nozomi Entertainment'],['Sunrise'],Original,['Action'],,12 min. per ep.,PG - Children,6.27,#8463,#8635,"5,488",5,1972,A Romance of the Three Kingdoms retelling using SD Gundams.,"['Sequel (ONA) SD Gundam World: Sangoku Souketsuden', '']",SD Gundam Sangokuden Brave Battle Warriors,,,,"['Historical', 'Mecha']",,,
64,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",それいけ！アンパンマン,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,,,24 min.,PG - Children,6.58,#6586,#9190,"4,609",31,1738,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,,,"['Comedy', 'Fantasy']",,['Kids'],,
65,,스캔2고,Scan2Go,['TV'],52,Finished Airing,"Aug 9, 2010 to Mar 29, 2011",['Summer 2010'],Unknown,['d-rights'],['Cookie Jar Entertainment'],['SynergySP'],Original,['Sci-Fi'],,25 min. per ep.,G - All Ages,6.18,#8954,#9873,"3,706",12,1716,"Sometime in the near future, in an age in which we have established contact and communications with planets outside our galaxy, Scan2Go has become a huge phenomenon throughout all of outer space. Giant races are held at every locality, with each racer gunning for the title of the universe's number one racer! The main character in the series, Kazuya, possesses the power of the eagle, performed well with his blazing, innate power commanding his falconine beast spirit. He competes in a tournament, the ""Pro-Racer Exhibition Race."", but was no match for the other teams that had won their way through the competitive Space Preliminaries. Realizing the difficult obstacles that lie before them, Kazuya and his friends leave the small Earth behind and set off on a universe-wide quest to hone their skills as warriors!",[],Scan2Go,,,,"['Racing', 'Space', 'Strategy Game']",['Kids'],,
66,Gokujo!! Mecha Mote Iincho Second Collection,極上!!めちゃモテ委員長 セカンドコレクション,The Best!! Extremely Cool Student Council President Second Collection,['TV'],51,Finished Airing,"Apr 3, 2010 to Apr 10, 2011",['Spring 2010'],Unknown,"['TV Tokyo', 'Shogakukan-Shueisha Productions']","None found,",['Shogakukan Music & Digital Entertainment'],['Manga'],,['School'],24 min. per ep.,PG - Children,6.26,#8504,#10153,"3,378",5,983,The continuation of Gokujou!! Mecha Mote Iinchou with a new title. Episode numbers continue from 51.,"['Prequel (TV) Gokujou!! Mecha Mote Iinchou', 'Adaptation (Manga) Gokujou!! Mecha Mote Iinchou']",Gokujou!! Mecha Mote Iinchou Second Collection,,,"['Comedy', 'Romance']",,['Shoujo'],,
67,"Mainichi Kaa-san, Every Day Mom",毎日かあさん,Kaasan: Mom's Life,['TV'],142,Finished Airing,"Apr 1, 2009 to Mar 25, 2012",['Spring 2009'],Unknown,['Nihon Ad Systems'],"None found,","['Gallop', 'TYO Animations', 'Dongwoo A&E']",['Manga'],,['Childcare'],20 min. per ep.,PG - Children,7.22,#3274,#10186,"3,347",24,1068,Based on Rieko Saibara's humorous semi-autobiographical manga about her life raising her two children.,[],Mainichi Kaasan,Kaasan Mom's Life,Kaasan Mom's Life,"['Comedy', 'Slice of Life']",,,Kaasan Mom's Life,
68,Zui Qiang Wujiang Chuan · Sanguo Yanyi,最强武将传·三国演义,The Legend of the Strongest General: Romance of the Three Kingdoms,['TV'],52,Finished Airing,"Apr 4, 2010 to Mar 27, 2011",['Spring 2010'],Sundays at 09:30 (JST),"['Hisashishi Videos', 'TOMY Company']","None found,","['Future Planet', 'Beijing Huihuang Animation Company']",Novel,,['Historical'],25 min. per ep.,PG-13 - Teens 13 or older,6.81,#5298,#10633,"2,927",5,434,"Chinese-Japanese anime adaptation of the ""Romance of the Three Kingdoms"" classic novel. Lui Bei embarks on a journey to quell the chaos that plagues his homeland, bringing with him his sworn brothers, Zhang Fei and Guan Yu. With only a small army and no land Lui Bei is forced to take a subservient role to other Generals, in order to keep him safe from those who continually come after his life.",[],Saikyou Bushouden: Sangoku Engi,,,,,,,
69,Cooking Idol,クッキンアイドル　アイ！マイ！まいん！,,['TV'],305,Finished Airing,"Mar 30, 2009 to Mar 22, 2013",['Spring 2009'],Unknown,"['NHK', 'Nihon Ad Systems']","None found,",['Studio Deen'],Original,,,6 min. per ep.,PG - Children,6.25,#8567,#10690,"2,884",9,739,"Cooking Idol teaches children how to cook through instruction of the main character, MAIN. The show itself is divided into an animated segment featuring MAIN, and a live-action segment featuring the voice actor of MAIN, Fukuhara Haruka, as she practices the cooking herself. The live-action segment is not included in the avg episode duration.",[],Cookin' Idol Ai! Mai! Main!,,,"['Comedy', 'Gourmet']",,['Kids'],,
70,Stitch! 3,スティッチ！～ずっと最高のトモダチ～,Stitch: Season 3,['TV'],29,Finished Airing,"Jul 6, 2010 to Mar 8, 2011",['Summer 2010'],Unknown,"None found,","None found,",['Shin-Ei Animation'],Unknown,,,25 min. per ep.,PG - Children,6.05,#9650,#10959,"2,653",3,833,"In their new adventure, Yuuna and Stitch move from their small island Izayoi to the Okinawa main island where Yuuna is supposed to visit a school. A new cast of friends awaits them there as well as a new crisis approaching from space. (Source: AniDB)","['Prequel (TV) Stitch! Itazura Alien no Daibouken', 'Prequel (Special) Stitch!: Itazura Alien no Daibouken - Uchuu Ichi no Oniichan', 'Sequel (TV Special) Stitch to Suna no Wakusei', '']",Stitch!: Zutto Saikou no Tomodachi,,,"['Adventure', 'Comedy']",,['Kids'],,
71,AI Football GGO,超智能足球,GGO Football,['TV'],52,Finished Airing,"Jun 2, 2010 to Jun 10, 2014",['Summer 2010'],Unknown,"None found,","None found,",['Puzzle Animation Studio Limited'],Original,,['Team Sports'],22 min. per ep.,G - All Ages,6.58,#6606,#11199,"2,473",10,1207,"As we enter the 21st century, the relationship between sports and technology is getting closer and closer. Sports products are enhanced by technological advances. The designs of footballs and football shoes require detailed information and computer tests in order to produce products that will allow us to reach the full potential and beyond. If we were only reliant on human testing, the standards would definitely fluctuate greatly. Thus, Professor GGO was brought in as consultant in the research, and as a result GGO robotic footballers were created. (Source: GGO Football Website)","['Sequel (TV) Chao Zhi Neng Zu Qiu 2: Shijie Dasai Pian', '']",Chao Zhi Neng Zu Qiu,GGO Football,GGO Football,"['Comedy', 'Sports']",,,GGO Football,
72,,デュエル・マスターズ クロスショック,,['TV'],50,Finished Airing,"Apr 3, 2010 to Mar 26, 2011",['Spring 2010'],Unknown,"['Shogakukan-Shueisha Productions', 'Asahi Broadcasting']","None found,",['Shogakukan Music & Digital Entertainment'],Original,,['Strategy Game'],10 min. per ep.,PG-13 - Teens 13 or older,6.16,#9059,#11447,"2,297",1,756,"Shobu and friends continue to face the members of Fua Duelist in the world championship and defeat them all. And now Shobu is the world champion. Before Shobu could relax he is being called into the creature world to face Diabolos Zeta, Temporal Ruler, who is about to bring annihilation. Shobu and friends gather the new legendary cards and stop him with their new powers of these cards. (Source: Duel Masters Wikia)","['Prequel (TV) Duel Masters Cross', 'Sequel (TV) Duel Masters Victory']",Duel Masters Cross Shock,,,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],,
73,,おじゃる丸,Prince Mackaroo,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,,,10 min.,G - All Ages,6.39,#7746,#11556,"2,226",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,['Kids'],,
74,,たまごっち!,,['TV'],143,Finished Airing,"Oct 12, 2009 to Sep 3, 2012",['Fall 2009'],Unknown,"None found,","None found,",['OLM Digital'],Game,['Comedy'],,25 min. per ep.,G - All Ages,6.34,#8029,#11901,"2,006",11,552,The stories will follow the daily lives of the Tamagotchi and feature new characters and settings. (Source: ANN),"['Sequel (TV) Tamagotchi! Yume Kira Dream', '']",Tamagotchi!,,,,,['Kids'],,
75,Kuru Neko 2nd Season,くるねこ,,['TV'],50,Finished Airing,"Jul 3, 2010 to Jul 2, 2011",['Summer 2010'],Saturdays at 11:40 (JST),"['Kadokawa Pictures Japan', 'Kansai Telecasting', 'Tokai Television']","None found,",['DAX Production'],['Manga'],,['Pets'],2 min. per ep.,G - All Ages,7.00,#4376,#12520,"1,644",1,492,"Second season of the everyday life of the lady with many cats. Based on a blog by the cat owner. Actress Miki Nakatani (Ringu, Densha Otoko) will take over the series' voice acting duty in second season.","['Prequel (TV) Kuruneko', 'Sequel (ONA) Kuruneko (ONA)', 'Adaptation (Manga) Kuruneko', '']",Kuruneko 2nd Season,,,"['Comedy', 'Slice of Life']",,,,
