,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Demographic,Genre,Demographics
10,,色づく世界の明日から,Iroduku: The World in Colors,Iroduku: The World in Colors,Iroduku: El Mundo en Colores,Iroduku: Le Monde en couleur,['TV'],13,Finished Airing,"Oct 6, 2018 to Dec 29, 2018",['Fall 2018'],Saturdays at 01:55 (JST),"['Sotsu', 'NBCUniversal Entertainment Japan', 'Infinite']",['Sentai Filmworks'],['P.A. Works'],Original,"['Drama', 'Fantasy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,7.52,#1890,#727,"348,584","2,270",136315,"Despite the kaleidoscopic magic ingrained in everyday life, Hitomi Tsukishiro's monochrome world is deprived of emotion and feeling. On a night as black and white as any other, amidst the fireworks spreading across the sky, Hitomi's grandmother Kohaku conjures a spell, for which she has been harnessing the moon's light for 60 years, to send Hitomi back in time to the year 2018 when Kohaku was in high school. Hitomi's mission seems unclear, but her grandmother assures her that she will know when she gets there. Following a trip through time aboard a train driven by a strange yellow creature, Hitomi finds herself in stoic artist Yuito Aoi's room, and his drawings flood her world with color. What is Hitomi's purpose there, and why do Yuito's drawings return such breathtaking color to her drab world? [Written by MAL Rewrite]",[],Irozuku Sekai no Ashita kara,"['Love Polygon', 'School', 'Time Travel', 'Urban Fantasy', 'Visual Arts']",,,
11,"Kaze ga Tsuyoku Fuite Iru, Kazetsuyo",風が強く吹いている,Run with the Wind,Run with the Wind,Run with the Wind,Run with the Wind,['TV'],23,Finished Airing,"Oct 3, 2018 to Mar 27, 2019",['Fall 2018'],Wednesdays at 01:29 (JST),"['Movic', 'Nippon Television Network', 'TOHO animation', ""Toy's Factory"", 'Cygames', 'Yomiuri Shimbun', 'MediaLink Entertainment Limited']",['Sentai Filmworks'],['Production I.G'],Novel,"['Drama', 'Sports']",,23 min. per ep.,PG-13 - Teens 13 or older,8.38,#209,#815,"315,709","6,252",143795,"Former ace runner of Sendai Josei High School, Kakeru Kurahara is chased away from a convenience store for shoplifting. Shaking off his pursuer, he runs into Haiji Kiyose, another student from his university. Haiji is impressed by Kakeru's agility and persuades him to live in Chikusei-sou, the run-down apartment where Haiji resides along with eight other students. Having lost his entire apartment deposit at a mahjong parlor, Kakeru accepts the offer reluctantly. However, Haiji reveals a secret during Kakeru's welcoming party: the apartment is actually the dormitory of the Kansei University Track Club. He unveils his ultimate goal of participating in the Hakone Ekiden—one of the most prominent university marathon relay races in Japan. Unfortunately, all the residents apart from Haiji and Kakeru are complete running novices. Worse still, none of the inhabitants are even remotely interested in being involved with Haiji's ridiculous plan! With only months before the deadline, will the fourth-year student be able to convince them otherwise and realize his elusive dream of running in the Hakone Ekiden? [Written by MAL Rewrite]","['Adaptation (Manga) Kaze ga Tsuyoku Fuiteiru', 'Adaptation (Novel) Kaze ga Tsuyoku Fuiteiru']",Kaze ga Tsuyoku Fuiteiru,"['Adult Cast', 'Racing']",,,
12,,SSSS.GRIDMAN,SSSS.Gridman,,,,['TV'],12,Finished Airing,"Oct 7, 2018 to Dec 23, 2018",['Fall 2018'],Sundays at 00:00 (JST),"['Mainichi Broadcasting System', 'Pony Canyon', 'Tsuburaya Productions', 'KlockWorx', 'Ultra Super Pictures', 'Graphinica', 'Docomo Anime Store', 'Fields', 'BS11']",['Funimation'],['Trigger'],Original,"['Action', 'Award Winning', 'Sci-Fi']",['Mecha'],23 min. per ep.,PG-13 - Teens 13 or older,7.13,#3728,#834,"311,842","1,392",134380,"Yuuta Hibiki wakes up in the room of Rikka Takarada and notices two things: he has no memories, and he can hear a mysterious voice calling his name from a nearby room. On further inspection, he finds a robot—which introduces itself as Hyper Agent Gridman—behind the screen of an old computer. Much to Yuuta's surprise, Rikka cannot hear Gridman, nor can she see the ominous monsters looming over a thick fog as it envelopes the town outside. Another giant monster materializes in the city and proceeds to wreak havoc. Amidst the confusion, Yuuta is once again drawn to the old computer and merges with Gridman. Suddenly, he appears in the middle of the battle and is forced to fight the monster. Together with Rikka and fellow classmate Shou Utsumi, Yuuta forms the ""Gridman Alliance"" to defeat the monsters plaguing the city and find whoever is responsible for their emergence. [Written by MAL Rewrite]","['Sequel (Movie) Gridman Universe', 'Adaptation (Manga) SSSS.Gridman']",SSSS.Gridman,,,,
13,"Toaru Majutsu no Index 3, Toaru Majutsu no Kinsho Mokuroku 3",とある魔術の禁書目録Ⅲ,A Certain Magical Index III,A Certain Magical Index III,A Certain Magical Index III,A Certain Magical Index III,['TV'],26,Finished Airing,"Oct 5, 2018 to Apr 5, 2019",['Fall 2018'],Fridays at 22:00 (JST),"['Square Enix', 'Movic', 'AT-X', 'Warner Bros. Japan', 'NBCUniversal Entertainment Japan', 'Kadokawa']",['Funimation'],['J.C.Staff'],['Light novel'],"['Action', 'Fantasy', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,6.83,#5168,#992,"262,969",843,105590,"Touma Kamijou can't catch a break. After the invasion of Academy City, political tensions continue to rise as both the science and magic factions collide head on. It appears that Academy City intends to declare war against the Roman Catholic Church, consequently plunging the whole world into global warfare. Touma soon finds himself on the front lines once again, striving to protect his friends and allies. Toaru Majutsu no Index III serves as the last installment of the original franchise as Touma, Accelerator, and the true Level 0 Shiage Hamazura continue their separate journeys, leading up to the final act of the original light novel series. [Written by MAL Rewrite]","['Prequel (TV) Toaru Majutsu no Index II', 'Adaptation (Manga) Toaru Majutsu no Index', 'Adaptation (Light Novel) Toaru Majutsu no Index', '']",Toaru Majutsu no Index III,"['Super Power', 'Urban Fantasy']",,,
14,,ラディアン,Radiant,,,,['TV'],21,Finished Airing,"Oct 6, 2018 to Feb 23, 2019",['Fall 2018'],Saturdays at 17:35 (JST),"['Studio Hibari', 'NHK', 'Ankama', 'NHK Enterprises']",['Funimation'],['Lerche'],Other,"['Action', 'Adventure', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,6.88,#4931,#1174,"222,033",451,82989,"Nemeses—powerful and mysterious demonic entities that fall from the sky and vaporize anything they touch. The only ones who can combat these creatures are Sorcerers, those who have survived an encounter with a Nemesis but were infected in the process. Seth, a Sorcerer from Pompo Hills, sets out on an adventure to exterminate all these Nemeses. Accompanying him are Doc and Mélie, fellow Sorcerers who share his ideal. Their main objective is to bring about a world where Sorcerers are no longer persecuted for being infected, and to that end, desire to destroy the source of the Nemeses themselves: the mythical Radiant. [Written by MAL Rewrite]","['Sequel (TV) Radiant 2nd Season', '']",Radiant,,,,
15,Golden Kamuy Second Season,ゴールデンカムイ,Golden Kamuy Season 2,Golden Kamui Staffel 2,Golden Kamuy Temporada 2,Golden Kamui Saison 2,['TV'],12,Finished Airing,"Oct 8, 2018 to Dec 24, 2018",['Fall 2018'],Mondays at 23:00 (JST),"['Magic Capsule', 'NBCUniversal Entertainment Japan', 'Tokyo MX', 'Good Smile Company', 'Sammy', 'Shueisha', 'JR East Marketing & Communications', 'Twin Engine']",['Funimation'],['Geno Studio'],['Manga'],"['Action', 'Adventure']",,23 min. per ep.,R - 17+ (violence & profanity),8.24,#344,#1184,"219,432",972,119920,"In Hokkaido, it is rumored that there is a stash of hidden gold. This gold was supposedly stolen by a man who killed the original Ainu owners; and before being captured and imprisoned by the police, he hid it in a secret location. In order to relay the gold's location to his comrades on the outside, he tattooed the map on the bodies of his cellmates and promised them a share of the gold—provided they managed to escape and find it. In Golden Kamuy 2nd Season, First Lieutenant Tokushirou Tsurumi plans to give the 7th Division an advantage in the war for the tattoos by getting a taxidermist to create skins that only he can distinguish as fake. Meanwhile, Saichi ""The Immortal"" Sugimoto, Asirpa, and their companions continue their hunt for the skins by following a strange rumor: a thief who broke into a home in Yubari found taxidermied human corpses, among which was a torso with strange tattoos. [Written by MAL Rewrite]","['Prequel (TV) Golden Kamuy', 'Sequel (TV) Golden Kamuy 3rd Season', 'Adaptation (Manga) Golden Kamuy', '']",Golden Kamuy 2nd Season,"['Adult Cast', 'Historical', 'Military']",['Seinen'],,
16,,ツルネ ―風舞高校弓道部―,Tsurune: Kazemai High School Kyudo Club,Tsurune,Tsurune,Tsurune,['TV'],13,Finished Airing,"Oct 22, 2018 to Jan 21, 2019",['Fall 2018'],Mondays at 00:10 (JST),"['Lantis', 'Pony Canyon', 'Rakuonsha', 'Bandai Namco Arts']","['Sentai Filmworks', 'Ponycan USA']",['Kyoto Animation'],['Light novel'],,['School'],24 min. per ep.,PG-13 - Teens 13 or older,7.68,#1354,#1481,"170,903","1,251",66434,"""Tsurune""—It's the sound made by the bowstring when an arrow is released, and the sound that inspired Minato Narumiya to learn kyudo, a modern Japanese martial art focusing on archery. However, an incident during his last middle school tournament caused him to quit the sport. But soon, many factors conspire to make Minato take up the bow once again: the start of a new kyudo club in his high school, a chance encounter with a mysterious archer, and the support of his childhood friends, Seiya Takehaya and Ryouhei Yamanouchi. Together with his childhood friends and his new teammates, Kaito Onogi and Nanao Kisaragi, Minato rekindles his love for kyudo and works with his team toward their aim of winning the prefectural tournament. [Written by MAL Rewrite]","['Sequel (Special) Tsurune: Kazemai Koukou Kyuudou-bu - Yabai', 'Adaptation (Light Novel) Tsurune: Kazemai Koukou Kyuudoubu']",Tsurune: Kazemai Koukou Kyuudou-bu,,,['Sports'],
17,"Dakaretai Otoko Ichii ni Odosarete Imasu., Dakaretai Otoko No.1 ni Odosareteimasu.",抱かれたい男1位に脅されています。,Dakaichi -I'm being harassed by the sexiest man of the year-,Dakaichi - I'm being harassed by the Sexiest Man of the Year.,Dakaichi - I'm being harassed by the Sexiest Man of the Year.,Dakaichi - I'm being harassed by the Sexiest Man of the Year.,['TV'],13,Finished Airing,"Oct 6, 2018 to Dec 29, 2018",['Fall 2018'],Saturdays at 00:00 (JST),"['Aniplex', 'Movic', 'Libre', 'animate']",['Aniplex of America'],['CloverWorks'],['Manga'],"['Boys Love', 'Comedy', 'Drama']",,23 min. per ep.,PG-13 - Teens 13 or older,7.35,#2567,#1515,"167,127","1,881",83874,"Takato Saijou has held the title of ""Sexiest Man of the Year"" for five years running. He is an accomplished actor, with 20 years of experience under his belt, and is aware his good looks are well above average. Proud of his career, Takato regards the title as an appropriate indicator of his success. But when his reign is ended by acting newbie Junta Azumaya, who debuted only three years ago, Takato's initial shock gives way to jealous hostility. Even in the new drama that he has been cast in, Junta seems to have suddenly surpassed him; snatching Takato's usual spot of lead actor, Junta continually manages to get on his nerves. Most infuriating of all are the bright smile and kind words that accompany everything Junta does. All this animosity comes to a head, however, when Junta catches Takato in a rather vulnerable drunken state. Endangering his own public image, Takato confronts the junior actor with harsh words and angry comments—an opportunity Junta takes every advantage of. With the famous actor Takato Saijou now on video picking a fight with a co-star, Junta has the perfect means to blackmail him. Asking the price of his enemy's silence, Takato is shocked to find that his motivation lies far from advancing his career; instead, Junta's terms are those that can only be realized in the bedroom! [Written by MAL Rewrite]","['Sequel (Movie) Dakaretai Otoko 1-i ni Odosarete Imasu. Movie: Spain-hen', 'Adaptation (Manga) Dakaretai Otoko 1-i ni Odosarete Imasu.']",Dakaretai Otoko 1-i ni Odosarete Imasu.,"['Adult Cast', 'Showbiz']",,,
18,"The One I Love Is a Little Sister, but She's Not My Little Sister",俺が好きなのは妹だけど妹じゃない,"My Sister, My Writer","My Sister, My Writer","My Sister, My Writer","My Sister, My Writer",['TV'],10,Finished Airing,"Oct 10, 2018 to Dec 19, 2018",['Fall 2018'],Wednesdays at 22:00 (JST),"['MAGES.', 'Kadokawa']","None found,","['NAZ', 'Magia Doraglier']",['Light novel'],"['Comedy', 'Romance', 'Ecchi']",,23 min. per ep.,R+ - Mild Nudity,4.88,#13345,#1729,"140,067",257,57635,"Aspiring light novel author Yuu Nagami regularly enters writing competitions but has yet to win a single one. Despite his recurring failures, he remains steadfast in his resolve to become a better writer. When he takes a look at the list of winning authors in the latest contest he joined, he notices that someone named Chikai Towano dominated the competition. He soon discovers that behind the pen name is his sister Suzuka—the last person he can imagine being an author. Suzuka cannot reveal to anyone that she is Chikai Towano and requests her brother to take her place. Yuu agrees with one condition: he will continue posing as Chikai Towano for his sister until he publishes his own book. Until that happens, Yuu uses his new identity as an opportunity to improve his writing skills and meet fellow authors and new acquaintances along the way. [Written by MAL Rewrite]","['Adaptation (Manga) Ore ga Suki nano wa Imouto dakedo Imouto ja Nai', 'Adaptation (Light Novel) Ore ga Suki nano wa Imouto dakedo Imouto ja Nai']",Ore ga Suki nano wa Imouto dakedo Imouto ja Nai,,,,
19,,からくりサーカス,Karakuri Circus,Karakuri Circus,Karakuri Circus,Karakuri Circus,['TV'],36,Finished Airing,"Oct 11, 2018 to Jun 27, 2019",['Fall 2018'],Thursdays at 22:30 (JST),"['Fujipacific Music', 'Twin Engine']",['Sentai Filmworks'],['Studio VOLN'],['Manga'],"['Action', 'Adventure', 'Drama', 'Mystery']",,24 min. per ep.,PG-13 - Teens 13 or older,7.16,#3590,#1762,"136,619",645,39390,"Narumi Katou is a middle-aged man who suffers from the bizarre ZONAPHA Syndrome: a rare and inexplicable disease that causes its victims to endure severe seizures at random, with the only cure being to watch someone laugh. One day, during Narumi's part time job, a young boy with a giant suitcase fleeing from three adults runs into him. The boy introduces himself as Masaru Saiga, the new owner of the famous Saiga Enterprises following his father's recent death. However, other members of his family are trying to assassinate him and claim the fortune for themselves. Determined to save the child, Narumi helps Masaru escape and ends up fighting the pursuers, only to discover that they are sentient humanoid puppets with superhuman strength. As Narumi is about to lose, a white-haired girl suddenly joins the fray and swiftly summons yet another puppet from the boy's suitcase, claiming herself to be Shirogane, Masaru's guardian. Karakuri Circus follows three people from different backgrounds whose fates intertwine and diverge as they unravel the mysteries of an ancient tale of love and betrayal, and the long, ancient battle between humans and puppets. [Written by MAL Rewrite]","['Adaptation (Manga) Karakuri Circus', '']",Karakuri Circus,,['Shounen'],,
20,,CONCEPTION（コンセプション）,,,,,['TV'],12,Finished Airing,"Oct 10, 2018 to Dec 26, 2018",['Fall 2018'],Wednesdays at 01:30 (JST),['Sotsu'],['Funimation'],['Gonzo'],Game,"['Action', 'Comedy', 'Fantasy', 'Romance']",,23 min. per ep.,PG-13 - Teens 13 or older,4.58,#13602,#1814,"132,129",179,53582,"On his high school graduation day, Itsuki's cousin, Mahiru, tells him that she's pregnant. Just then, a gate of light emerges and transports the two into the world of Granvania. In this land, ""Impurities"" have been causing a disturbance to the Stars, ultimately plunging Granvania into chaos and disorder. And Itsuki, now revealed to be one who is fated to meet with the ""Star Maidens,"" is seen as Granvania's last hope and was thus given the task to produce ""Star Children"" and combat the ""impurities."" And unless the task is complete, Itsuki may never be able to return home. (Source: Wikipedia, edited)",[],Conception,"['Harem', 'Isekai', 'Parody']",,,
21,"Sumo of the Rising Sun, Sumo Wrestler Hinomaru, Hinomaru Zumou",火ノ丸相撲,Hinomaru Sumo,Hinomaru Sumo,Hinomaru Sumo,Hinomaru Sumo,['TV'],24,Finished Airing,"Oct 5, 2018 to Mar 29, 2019",['Fall 2018'],Fridays at 22:00 (JST),"['Nihon Ad Systems', 'Pony Canyon', 'Shueisha', 'BS11', 'Jinnan Studio', 'Cygames', 'CA-Cygames Anime Fund']",['Funimation'],['Gonzo'],['Manga'],,,23 min. per ep.,PG-13 - Teens 13 or older,7.53,#1847,#1873,"127,119",353,56300,"In professional sumo, there are no weight classes. It's a savage sport where the strongest survive, and anyone willing to test their mettle can step into the ring. There is, however, a minimum size requirement to be a pro sumo wrestler, and young Hinomaru Ushio, incredibly talented and hardworking though he may be, does not meet that requirement. This small boy has big dreams of reaching the highest class of sumo, Hinoshita Kaisan. The only way he could possibly go pro is if he becomes the High School Yokozuna, a title given to the strongest wrestler in high school tournaments. Ushio is under a lot of pressure, as well as a time limit. If he can't show off his skills in the high school tournaments, he may lose his chance to go pro permanently, and the odds are stacked against him. Instead of enrolling in Ishigami High, the best school for sumo in Japan, he enrolls in Odachi High and must build a sumo club from the ground up with the one devout member Shinya Ozeki. Odachi High is the true underdog of the sumo world, but Ushio has to push forward with all his strength if he is going to make it professionally. [Written by MAL Rewrite]","['Adaptation (Manga) Hinomaruzumou', '']",Hinomaruzumou,"['Combat Sports', 'School']",['Shounen'],['Sports'],
22,,うちのメイドがウザすぎる！,UzaMaid!,UzaMaid!,UzaMaid!,UzaMaid!,['TV'],12,Finished Airing,"Oct 5, 2018 to Dec 21, 2018",['Fall 2018'],Fridays at 23:00 (JST),"['AT-X', 'Sony Music Communications', 'Futabasha', 'Kadokawa Media House', 'NTT Plala', 'Kadokawa']","None found,",['Doga Kobo'],['Manga'],"['Comedy', 'Girls Love']",,23 min. per ep.,PG-13 - Teens 13 or older,6.85,#5094,#1909,"123,817",190,52322,"Having lost her mother at a young age, Misha Takanashi, a second grader who is Russian now lives with her Japanese step-father. Tsubame Kamoi, formerly a Japan Air Self-Defense Force, JASDF officer, comes to the Takanashi household as a housekeeper. This is a home comedy where Kamoi, a hardcore lolicon, attempts to get near Misha as she tries to fight against her.","['Adaptation (Manga) Uchi no Maid ga Uzasugiru', '']",Uchi no Maid ga Uzasugiru!,,,,
23,,ガイコツ書店員本田さん,Skull-face Bookseller Honda-san,Skull-face Bookseller Honda-san,Skull-face Bookseller Honda-san,Skull-face Bookseller Honda-san,['TV'],12,Finished Airing,"Oct 8, 2018 to Dec 24, 2018",['Fall 2018'],Mondays at 00:30 (JST),"['Lantis', 'Half H.P Studio', 'Encourage Films', 'Radio Osaka', 'Kadokawa', 'Muse Communication', 'Bandai Namco Arts']",['Discotek Media'],['DLE'],['Web manga'],,,11 min. per ep.,PG-13 - Teens 13 or older,7.29,#2859,#1915,"123,103",408,51051,"Honda is a skeleton, but more importantly, they are a bookseller. And they will tell you from firsthand experience that the job of a bookstore employee is more challenging than it may seem to the average customer. Alongside their equally eccentric coworkers, Honda constantly deals with the stressful requirements of the bookselling industry. From the drama of receiving new titles without their bonus material to the struggle of providing quality service to customers who speak a different language, the work of a skeleton bookseller never ends. Nevertheless, despite the hardships they face, Honda thoroughly enjoys their job and strives to bring the best book selections and service to their customers. [Written by MAL Rewrite]","['Adaptation (Manga) Gaikotsu Shotenin Honda-san', '']",Gaikotsu Shotenin Honda-san,"['Adult Cast', 'Otaku Culture', 'Workplace']",,['Comedy'],
24,,となりの吸血鬼さん,Ms. Vampire who lives in my neighborhood.,Ms. Vampire who lives in my neighborhood.,Ms. vampire who lives in my neighborhood.,Ms. Vampire who lives in my neighborhood.,['TV'],12,Finished Airing,"Oct 5, 2018 to Dec 21, 2018",['Fall 2018'],Fridays at 21:00 (JST),"['Frontier Works', 'AT-X', 'Nippon Columbia', 'Hakuhodo DY Music & Pictures']",['Discotek Media'],"['Studio Gokumi', 'AXsiZ']",['4-koma manga'],"['Comedy', 'Supernatural']",,23 min. per ep.,PG-13 - Teens 13 or older,7.09,#3952,#2068,"111,407",340,44985,"Rumors tell about an ageless girl who only comes out at night, living in a mansion in the middle of the forest. Some say that she is a living doll with a soul. Upon hearing these rumors, Akari Amano seeks out this girl, only to find herself lost as she treks through the woods amidst the darkness. A vampire named Sophie Twilight saves her, turning out to be the rumored girl. However, unlike the vampires told in myths, Sophie does not attack humans and instead orders her blood online. Akari instantly becomes charmed with her doll-like appearance and proceeds to abruptly move in with her, thus starting their life together. [Written by MAL Rewrite]","['Adaptation (Manga) Tonari no Kyuuketsuki-san', '']",Tonari no Kyuuketsuki-san,"['CGDCT', 'Vampire']",,,
25,,ベルゼブブ嬢のお気に召すまま。,As Miss Beelzebub Likes.,As Miss Beelzebub Likes It,As Miss Beelzebub Likes. (Beelzebub-jou no Okinimesu Mama),As Miss Beelzebub Likes It,['TV'],12,Finished Airing,"Oct 11, 2018 to Dec 27, 2018",['Fall 2018'],Thursdays at 02:50 (JST),"['Aniplex', 'Square Enix', 'Movic', 'Studio Mausu', 'Tokyo MX', 'Q-Tec', 'ABC Animation', 'CA-Cygames Anime Fund']",['Discotek Media'],['LIDENFILMS'],['4-koma manga'],"['Comedy', 'Fantasy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,7.22,#3241,#2195,"102,414",354,38698,"According to legend, Beelzebub, one of the seven princes of Hell, betrayed God and was banished from Heaven for eternity. Beelzebub now leads the kingdom of Pandemonium, where all former angels roam and work every single day of their immortal lives. A devil like him would give people chills at the mere mention of his name. But what if Beelzebub is not as evil as initially thought? What if he was obsessed with fluffy things? And what if Beelzebub is actually a woman? That is what new assistant Myurin discovers when he is hired to serve Her Majesty Beelzebub. She may know exactly what to do to keep Pandemonium running like clockwork, but whenever she leaves the professionalism of the office, the girl needs some assistance in order to function like a normal... devil. As much as Myurin can't stand being unprofessional, he is secretly obsessed with her adorable antics, and his new job teaches him that everything is not exactly what it seems, especially with the other head devils of Pandemonium. [Written by MAL Rewrite]","['Adaptation (Manga) Beelzebub-jou no Okinimesu mama.', '']",Beelzebub-jou no Okinimesu mama.,"['Love Status Quo', 'Mythology', 'Workplace']",['Shounen'],,
26,Ulysses: Jeanne d'Arc to Renkin no Kishi,ユリシーズ ジャンヌ・ダルクと錬金の騎士,Ulysses: Jeanne d'Arc and the Alchemist Knight,Ulysses: Jeanne d'Arc and the Alchemist Knight,Ulysses: Jeanne d'Arc and the Alchemist Knight,Ulysses: Jeanne d'Arc and the Alchemist Knight,['TV'],12,Finished Airing,"Oct 7, 2018 to Dec 30, 2018",['Fall 2018'],Sundays at 22:00 (JST),"['Lantis', 'Studio Mausu', 'Shueisha', 'Yomiuri TV Enterprise', 'Emon', 'DMM pictures', 'Crunchyroll SC Anime Fund', 'Bandai Namco Arts']",['Funimation'],['AXsiZ'],['Light novel'],"['Action', 'Fantasy', 'Romance', 'Ecchi']",,23 min. per ep.,PG-13 - Teens 13 or older,5.34,#12590,#2242,"98,732",113,34647,"The story is set in the 15th century, during the Hundred Years' War between France and England over the succession to the French throne. Montmorency, the son of a noble, immerses himself in the studies of magic and alchemy at a royal knight training school. However, following France's crushing defeat at Agincourt, the school is dissolved. Having lost everything and now a wanted man, Montmorency, who had just become an alchemist, encounters a mysterious village girl named Jehanne. (Source: MAL News)","['Adaptation (Light Novel) Ulysses: Jehanne Darc to Renkin no Kishi', '']",Ulysses: Jehanne Darc to Renkin no Kishi,"['Harem', 'Historical', 'Military']",,,
27,,RELEASE THE SPYCE,Release the Spyce,,,,['TV'],12,Finished Airing,"Oct 7, 2018 to Dec 23, 2018",['Fall 2018'],Sundays at 02:38 (JST),"['Mainichi Broadcasting System', 'Pony Canyon', 'Half H.P Studio', 'KlockWorx', 'Good Smile Company', 'Tablier Communications', 'Kadokawa', 'Legs', 'Hawkeye']",['Sentai Filmworks'],['Lay-duce'],Original,,['School'],24 min. per ep.,PG-13 - Teens 13 or older,6.93,#4693,#2644,"75,290",221,25844,"Momo Minamoto is a shy teenager who simply wants to do good in the world. Her dream is to follow in her police officer father's footsteps and support law and order. And just like him, she has a very unique ability: her senses are much more refined than those of any average person. A simple lick will enable her to determine what someone is feeling. One night, as she admires the landscape, Momo sees suspicious shades moving in the distance. After learning that those shades were spies, she is recruited by their captain Yuki Hanzoumon, a senior at her school. The members of their secret agency, called the Tsukikage, also have the power to gain strength after ingesting spices. Release the Spyce is an action-packed spy series about the Tsukikage's missions as they fight in the shadows to protect the city from crime while keeping up with their high school life. [Written by MAL Rewrite]","['Adaptation (Manga) Release the Spyce: Naisho no Mission', '']",Release the Spyce,,,['Action'],
28,Non-Human Creature's Wife,人外さんの嫁,Jingai-san no Yome,,Jinnai-san no Yome,,['TV'],12,Finished Airing,"Oct 3, 2018 to Dec 18, 2018",['Fall 2018'],Wednesdays at 01:00 (JST),"['MAGES.', 'Cloud22']","None found,",['Saetta'],['4-koma manga'],"['Comedy', 'Fantasy', 'Romance']",['School'],3 min. per ep.,PG-13 - Teens 13 or older,5.82,#10826,#3284,"50,983",121,21668,"High schooler Tomari Hinowa is called to the principal's office one day to hear some shocking news: he's getting married! A mysterious fluffy creature called Kanenogi has chosen him as their wife, and despite Tomari's initial misgivings, he decides to accept. What follows are a series of delightful tales from this new couple's monstrous married life. [Written by MAL Rewrite]","['Adaptation (Manga) Jingai-san no Yome', '']",Jingai-san no Yome,,['Josei'],,
