,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Genre,Demographic,Demographics
149,,マッツとヤンマとモブリさん ―七つの秘宝と空飛ぶお城―,"Mattsu, Yamma and Moburi - The Mystery of the Seven Gems and the Flying Castle",,,,['ONA'],1,Finished Airing,"Oct 1, 2013",,,"None found,","None found,","None found,",Original,,,9 min.,G - All Ages,4.98,#13236,#14487,941,1,326,"Mattsu and Yamma are two boys who live in Matsuyama. Their favourite pastime is looking for ""the seven wonders of Matsuyama"". One day, two men appear. What are the 7 hidden gems that they seek? Moburi, a high school girl who is like an older sister to the boys, also gets caught up in the adventure as this thriling story set in Matsuyama begins. Faced with all kinds of trouble, what will they choose for the future of their city? (Source: Official Site)","['Sequel (ONA) Mattsu to Yanma to Moburi-san 2: Suigun Otakara to Nazotoki no Shimajima', '']",Mattsu to Yanma to Moburi-san: Nanatsu no Hihou to Soratobu Oshiro,,['Fantasy'],,
150,"Futago no Mahoutsukai Lico and Gli, Futago no Mahoutsukai Lico & Gli",双子の魔法使い【リコとグリ】,The Wizard of twins LICO & GLI,,,,['ONA'],4,Finished Airing,"Nov 4, 2013 to Apr 3, 2015",,,"None found,","None found,","None found,",Original,,,1 min. per ep.,G - All Ages,5.32,#12644,#15027,810,1,219,"Glico, the prominent food manufacturer best known for its pretzel stick snacks Pocky and Pretz, has long relied on its classic running man character and real-life celebrities to promote its products. Now it has finally bowed to prevailing trends and introduced two moe-style anime characters to broadcast its message. Lico and Gli are twin brother and sister magicians dedicated to making the world tastier. A newly posted music video has Lico sing (via Vocaloid) about granting everyone's wishes with her sparkly magic. (Source: ANN)",[],Futago no Mahoutsukai Lico to Gli,['Music'],,,
151,Minimini,"探したのはお部屋, 見つけたのは未来",,,,,['ONA'],1,Finished Airing,"Dec 31, 2013",,,"None found,","None found,","None found,",Original,"['Romance', 'Slice of Life']",,3 min.,G - All Ages,5.77,#11071,#15149,777,1,218,The sequel to the short televised commercials. This web-only extended piece reunites the main characters from episode 1 as they have now reached stable adulthood.,"['Prequel (CM) Minimini TV CM', '']","Sagashita no wa Oheya, Mitsuketa no wa Mirai",,,,
152,Mantou Diary,馒头日记,,,,,['ONA'],10,Finished Airing,"Dec 25, 2013 to Oct 21, 2014",,,['Yaoqi'],"None found,","['Haoliners Animation League', 'LAN Studio']",['Web manga'],,,7 min. per ep.,G - All Ages,6.35,#7986,#15711,669,2,181,"Sweet and innocent orphan Man Tou, while optimistic and tough in his own way, often feels lonely deep inside. Without the care of parents, he longs for love more than anyone else. Being ridiculed and bullied by others as the parentless child, he longs for a genuine friendship that is yet to come. Though uncertain where his future lies, Man Tou has faith that keeps on working hard and never stops giving love will find him that place he can call home. (Source: u17)",[],Man Tou Riji,,['Slice of Life'],,
153,One Hundred Thousand Bad Jokes Di Er Ji,十萬個冷笑話 第二季,,,,,['ONA'],13,Finished Airing,"Dec 31, 2013 to Dec 30, 2014",,,['Yaoqi'],"None found,",['L²Studio'],['Web manga'],,,10 min. per ep.,PG-13 - Teens 13 or older,6.00,#9931,#16631,545,0,143,Second season of One Hundred Thousand Bad Jokes.,"['Prequel (ONA) Shi Wan Ge Leng Xiaohua', 'Sequel (ONA) Shi Wan Ge Leng Xiaohua Di 3rd Season']",Shi Wan Ge Leng Xiaohua 2nd Season,['Parody'],['Comedy'],,
154,,花のずんだ丸,,,,,['ONA'],8,Finished Airing,"Oct 22, 2013 to Dec 9, 2013",,,['CoMix Wave Films'],"None found,","None found,",['Manga'],,"['Martial Arts', 'Parody']",5 min. per ep.,G - All Ages,5.67,#11512,#16864,520,0,184,Based on the Ninja Awate-maru comedy manga by Jirou Tsunoda.,[],Hana no Zundamaru,,['Comedy'],,
155,The Story of Isobe Isobee,磯部磯兵衛物語 〜浮世はつらいよ〜,,,,,['ONA'],5,Finished Airing,"Dec 19, 2013 to Apr 3, 2014",,,"None found,","None found,","None found,",['Manga'],,"['Gag Humor', 'Historical']",3 min. per ep.,G - All Ages,[],#18891,#17228,483,0,,"In this ukiyoe-style flash anime, Isobe Isobee is a lazy, slacker samurai with big dreams. He lives with his mother, who thinks highly of him. He lays around the house, sneakily looks at Edo-period pornography without his mother noticing, naps at school, but he plans to become a respectable samurai one day! (Source: MangaHelpers, edited)","['Adaptation (Manga) Isobe Isobee Monogatari: Ukiyo wa Tsurai yo', '']",Isobe Isobee Monogatari: Ukiyo wa Tsurai yo,,['Comedy'],,
156,Nora Suko,野良スコ,,,,,['ONA'],9,Finished Airing,"Oct 11, 2013 to Mar 7, 2020",,,"None found,","None found,",['Kachidoki Studio'],Original,,,2 min. per ep.,G - All Ages,[],#20731,#18022,417,0,,Follows an easygoing Scottish Fold's mundane everyday life.,"['Sequel (TV) Norasco (TV)', '']",Norasco,,['Comedy'],,
157,"Super Gamer King, Super Game God",超神游戏,,,,,['ONA'],25,Finished Airing,"Nov 15, 2013 to Mar 20, 2015",,,['Tencent Animation & Comics'],"None found,","None found,",['Web manga'],"['Action', 'Fantasy']",,8 min. per ep.,PG-13 - Teens 13 or older,[],#17203,#18451,386,0,,"Three young friends skipped class and went to an Internet Cafe to play games but were caught by a female class monitor. One returns home, but the other two choose to purchase a mysterious game CD from the sexy female shopkeeper. When they start playing, they suddenly get transported to the game world.",[],Chao Shen Youxi,['Video Game'],,,
158,"Super Seminary First Season, Super Seminary Second Season, Lalala Demacia Fourth Season",超神学院,,,,,['ONA'],20,Finished Airing,"Dec 6, 2013 to Oct 24, 2014",,,"None found,","None found,",['Transcendence Picture'],Original,"['Action', 'Sci-Fi']",,19 min. per ep.,R - 17+ (violence & profanity),[],#17200,#18705,364,2,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (ONA) Lalala Demacia Third Season', 'Sequel (ONA) Chao Shen Xueyuan: Shen yu Shen']",Chao Shen Xueyuan,,,,
159,Taiya Kan,タイヤ館x紙兎ロペ,,,,,['ONA'],22,Finished Airing,"Oct 14, 2013 to Apr 8, 2016",,,"None found,","None found,","None found,",Original,"['Comedy', 'Slice of Life']",,1 min. per ep.,G - All Ages,[],#14909,#18684,368,0,,"A collaboration between Kamiusagi Rope and Tire Kan, an automotive supply store focused on tires owned by Bridgestone. This entry includes the episodes as well as unique commercials. The commercials were shown on TV and on the web while the episodes were web-only.",[],Tire Kan x Kamiusagi Rope,,,,
160,,ONED,Oned,,,,['ONA'],1,Finished Airing,Oct 2013,,,"None found,","None found,","None found,",Original,,,1 min.,G - All Ages,5.41,#12376,#18750,363,0,174,"""ONED"" is a campaign to reduce the euthanasia rate of Japanese pets.",[],Oned,['Music'],,,
161,,森の薫り×紙兎ロペ,,,,,['ONA'],3,Finished Airing,Nov 2013 to Apr 2014,,,"None found,","None found,","None found,",Original,"['Comedy', 'Slice of Life']",,2 min. per ep.,G - All Ages,[],#20414,#18910,351,0,,"A collaboration between Kamiusagi Rope and Nipponham's Mori no Kaori product line. Meant to showcase sausages, bacon, ham, etc. that have a rustic forest flavor with no added colors and reduced sodium. Episodes were available to view by entering a code online that was given on the inner label of a Mori no Kaori's product package.",[],Mori no Kaori x Kamiusagi Rope,,,,
162,,手塚治虫物語,,,,,['ONA'],10,Finished Airing,"Dec 18, 2013",,,['Tezuka Productions'],"None found,","None found,",Unknown,,,1 min. per ep.,G - All Ages,[],#14816,#19088,339,0,,Flash animation ONA that tells about Tezuka Osamu's life.,[],Tezuka Osamu Monogatari,['Historical'],,,
163,MAFF,木でつくろう,,,,,['ONA'],1,Finished Airing,"Nov 27, 2013",,,"None found,","None found,","None found,",Original,,,1 min.,G - All Ages,5.68,#11450,#19326,324,0,134,"A stop-motion animation created using wood from all 47 prefectures of japan. It was commissioned by the Japanese Ministry of Agriculture, Forestry, and Fisheries (MAFF) and aims to show the importance of wood construction and long-term sustainability.",[],Ki de Tsukurou,,['Slice of Life'],,
164,,リアルコケくん,,,,,['ONA'],1,Finished Airing,"Dec 15, 2013",,,"None found,","None found,","None found,",Original,,,1 min.,G - All Ages,5.04,#13176,#20430,262,0,122,"KOKE-kun is a merchandise franchise of eight cartoon characters that each represent a real species of moss. To promote the brand, the Real Koke-kun initiative was born, where flash mobs dressed as the main green moss character would appear around Japan. During this time, an animated version of Real Koke-kun was created by Takashi Taniguchi.",[],Real Koke-kun,,['Comedy'],,
165,,Mr. Men Little Miss / ミスターメン リトルミス,Mr. Men Little Miss,,,,['ONA'],82,Finished Airing,"Nov 29, 2013 to Jun 7, 2018",,,"None found,","None found,",['Sanrio'],Picture book,,,2 min. per ep.,G - All Ages,[],#20444,#20456,261,0,,Sanrio's rendition of the Mr. Men and Little Miss British book franchise. Each episode is focused on one of the characters while a narrator exuberantly explains their actions.,[],Mr. Men Little Miss,,,['Kids'],
166,,ねころんで見てね。,,,,,['ONA'],14,Finished Airing,"Nov 7, 2013 to Jun 9, 2014",,,['Nippon Television Network'],"None found,","None found,",Unknown,,,1 min. per ep.,G - All Ages,[],#20623,#20664,248,0,,"Poo, Raa, and Sue promote various things. Episode 1 for example promotes Lupin III TV special and Meitantei Conan's film while episode 3 promotes the Music Dragon LIVE 2013 event.",[],Nekoronde Mite ne.,,['Comedy'],,
167,,スパイペンギン ｢ホワイトクリスマス｣,Spy Penguin: White Christmas,,,,['ONA'],1,Finished Airing,"Dec 30, 2013",,,"None found,","None found,",['Next Media Animation'],Original,"['Adventure', 'Fantasy']",,2 min.,PG - Children,[],#14590,#20672,248,0,,A Christmas special side story of the Spy Penguin ONA series.,[],Spy Penguin (ONA): White Christmas,,,,
168,"Pescadowol, Altale, Pesca Doll",ペスカドヲル,,,,,['ONA'],1,Finished Airing,"Oct 2, 2013",,,"None found,","None found,","None found,",Original,,,2 min.,PG-13 - Teens 13 or older,[],#21006,#22781,143,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Pescadool,['Music'],['Slice of Life'],,
169,Juhua Xiao Dianzhi You Shen Me,有神么,Is There a God?,,,,['ONA'],10,Finished Airing,"Dec 20, 2013 to ?",,,"None found,","None found,","None found,",['Manga'],"['Comedy', 'Fantasy']",,5 min. per ep.,PG-13 - Teens 13 or older,[],#16107,#23361,126,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (ONA) You Shen Me 2nd Season', '']",You Shen Me,,,,
170,,大京小怪,,,,,['ONA'],2,Finished Airing,"Dec 24, 2013 to ?",,,"None found,","None found,","None found,",Unknown,"['Comedy', 'Horror']",,17 min. per ep.,PG-13 - Teens 13 or older,[],#17470,#24562,101,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Da Jing Xiao Guai,['Parody'],,,
171,禽兽超人前传之否否正能量,否否正能量,FOF and His Story,,,,['ONA'],10,Finished Airing,"Dec 9, 2013 to ?",,,"None found,","None found,","None found,",Unknown,,,7 min. per ep.,G - All Ages,[],#18004,#25533,87,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (ONA) Qinshou Chaoren', '']",Fou Fou Zheng Nengliang,,['Comedy'],['Kids'],
172,"Shingeki no Kyojin: Ilse no Techou, Attack on Titan: Ilse's Journal, 進撃の巨人 「イルゼの手帳」",進撃の巨人ＯＡＤ,Attack on Titan OAD,,,,['OVA'],3,Finished Airing,"Dec 9, 2013 to Aug 8, 2014",,,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Pony Canyon Enterprises']",['Funimation'],['Wit Studio'],['Manga'],"['Action', 'Drama', 'Suspense']","['Gore', 'Survival']",23 min. per ep.,R - 17+ (violence & profanity),7.89,#848,#494,"483,812",967,282669,"Ilse no Techou: Aru Chousa Heidanin no Shuki During the Survey Corps' 49th recon mission, Hange Zoë is determined to capture a titan specimen. Despite not receiving clearance from Commander Erwin Smith, when a titan is spotted in nearby forestland, Hange rides out alone to meet it. Recklessly luring it out, she asks the titan numerous questions and puts her life on the line for the sake of her research. However, the behavior of this particular titan is far from normal. It quickly turns back and enters the wood once again, leading Hange to somewhere specific. What Hange finds is the legacy of former scout Ilse Langnar. In spite of her death, she provides a valuable piece of information that may serve to turn the tide for titan research—a diary documenting her last moments. Totsuzen no Raihousha: Sainamareru Seishun no Noroi Jean Kirstein would do anything to escape his boring home life and overbearing mother. After enlisting in the military, it became his ultimate goal to join the Military Police regiment and live out in peace and luxury. However, during his time with the 104th Training Corps, things never really go the way Jean wants them to. Eventually, the stolen glory and condescending banter of his comrades become too much—and Jean challenges fellow cadet Sasha Blouse to a battle, in order to determine which of them is strongest—but who will come out on top? Konnan The 104th Training Corps' most recent mission is a trek on horseback into the forest. Although a test of their ability to stay alert even in non-threatening situations, the task is boring and can lead to in-fighting. This is especially true for one of the groups, lead by Marco Bott. Some want to stay true to the mission they have been tasked with, and the rest would rather slack off, occupying themselves with more exciting activities. But when trouble strikes, they are completely unprepared. [Written by MAL Rewrite]",[],Shingeki no Kyojin OVA,,,['Shounen'],
173,Kissxsis,キス×シス,,,,,['OVA'],12,Finished Airing,"Dec 22, 2008 to Apr 6, 2015",,,"None found,",['Discotek Media'],['feel.'],['Manga'],"['Comedy', 'Romance', 'Ecchi']","['Harem', 'School']",24 min. per ep.,R+ - Mild Nudity,6.79,#5365,#749,"340,976","1,321",189308,"When Keita Suminoe's father remarried, not only did he gain a new mother, but elder twin sisters as well. Distinct yet similar, the homely and mature Ako is a former student council president, while the athletic and aloof Riko is the previous disciplinary president. The three of them have been together since kindergarten, resulting in a deep bond between the siblings. However, over time, their relationship developed into something more romantic—and erotic . Now in his last year of middle school, Keita has already received a sports recommendation, but it's from a different high school than his two sisters. Disappointed, both sisters try to change his mind, and he agrees, giving in to their desperate pleas. Unaware of the consequences, he now has to attempt to study for his high school exams while warding off the advances of his lust-driven sisters. With their parent's blessings, Ako and Riko strive to be Keita's future wife, leaving him to try his best to keep the relationship between them strictly platonic. However, with two beautiful girls vying for his attention, will Keita be able to withstand the endless temptations? [Written by MAL Rewrite]","['Adaptation (Manga) Kiss x Sis', '']",Kiss x Sis,,,['Seinen'],
174,"Date A Live OVA, Date A Live Episode 13",デート・ア・ライブ DATE TO DATE,,,,,['OVA'],1,Finished Airing,"Dec 6, 2013",,,"['AIC', 'Nippon Columbia']",['Funimation'],['AIC PLUS+'],['Light novel'],"['Romance', 'Sci-Fi']","['Harem', 'School']",23 min.,PG-13 - Teens 13 or older,7.31,#2788,#1214,"213,530",407,121922,"When Origami Tobiichi asks Shidou Itsuka out on a date, Shidou considers this his best opportunity to set the record straight and end their relationship. However, even with the help of the Ratatoskr crew, his attempts to break up with her fail; in fact, Origami gladly tolerates Shidou's humiliating requests and blunt comments! Shidou's unconventional mission incidentally complicates his relationship with Tooka Yatogami, and it seems that easing the tension is only possible by going on another date. [Written by MAL Rewrite]","['Prequel (TV) Date A Live', 'Sequel (TV) Date A Live II', 'Adaptation (Manga) Date A Live', 'Adaptation (Manga) Date A Live: Tooka Dead End']",Date A Live: Date to Date,,,,
