,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Genre,Demographic,French,Theme,Demographics,German,Spanish
26,ONE PIECE,One Piece,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,496,802","234,768",1419770,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,OP,,['Shounen'],,,,,
27,BLEACH - ブリーチ -,Bleach,['TV'],366,Finished Airing,"Oct 5, 2004 to Mar 27, 2012",['Fall 2004'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Supernatural']",,24 min. per ep.,PG-13 - Teens 13 or older,7.97,#703,#35,"2,075,036","78,053",1188805,"Ichigo Kurosaki is an ordinary high schooler—until his family is attacked by a Hollow, a corrupt spirit that seeks to devour human souls. It is then that he meets a Soul Reaper named Rukia Kuchiki, who gets injured while protecting Ichigo's family from the assailant. To save his family, Ichigo accepts Rukia's offer of taking her powers and becomes a Soul Reaper as a result. However, as Rukia is unable to regain her powers, Ichigo is given the daunting task of hunting down the Hollows that plague their town. However, he is not alone in his fight, as he is later joined by his friends—classmates Orihime Inoue, Yasutora Sado, and Uryuu Ishida—who each have their own unique abilities. As Ichigo and his comrades get used to their new duties and support each other on and off the battlefield, the young Soul Reaper soon learns that the Hollows are not the only real threat to the human world. [Written by MAL Rewrite]","['Sequel (TV) Bleach: Sennen Kessen-hen', 'Adaptation (Manga) Bleach']",Bleach,,,['Shounen'],,,,,
28,天元突破グレンラガン,Gurren Lagann,['TV'],27,Finished Airing,"Apr 1, 2007 to Sep 30, 2007",['Spring 2007'],Sundays at 08:30 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Konami', 'Half H.P Studio', 'Bandai']","['ADV Films', 'Bandai Entertainment', 'Aniplex of America']",['Gainax'],Original,"['Action', 'Adventure', 'Award Winning', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,8.63,#84,#67,"1,676,619","80,898",930772,"Simon and Kamina were born and raised in a deep, underground village, hidden from the fabled surface. Kamina is a free-spirited loose cannon bent on making a name for himself, while Simon is a timid young boy with no real aspirations. One day while excavating the earth, Simon stumbles upon a mysterious object that turns out to be the ignition key to an ancient artifact of war, which the duo dubs Lagann. Using their new weapon, Simon and Kamina fend off a surprise attack from the surface with the help of Yoko Littner, a hot-blooded redhead wielding a massive gun who wanders the world above. In the aftermath of the battle, the sky is now in plain view, prompting Simon and Kamina to set off on a journey alongside Yoko to explore the wastelands of the surface. Soon, they join the fight against the ""Beastmen,"" humanoid creatures that terrorize the remnants of humanity in powerful robots called ""Gunmen."" Although they face some challenges and setbacks, the trio bravely fights these new enemies alongside other survivors to reclaim the surface, while slowly unraveling a galaxy-sized mystery. [Written by MAL Rewrite]","['Adaptation (Manga) Tengen Toppa Gurren Lagann', '']",Tengen Toppa Gurren Lagann,"Tengen Toppa Gurren-Lagann, Making Break-Through Gurren Lagann, Heavenly Breakthrough Gurren Lagann, TTGL, Gurren Laggan",,,Gurren Lagann,['Mecha'],,Gurren Lagann,Gurren Lagann
29,銀魂,Gintama,['TV'],201,Finished Airing,"Apr 4, 2006 to Mar 25, 2010",['Spring 2006'],Thursdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Miracle Robo', 'Shueisha']","['Sentai Filmworks', 'Crunchyroll']",['Sunrise'],['Manga'],"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",24 min. per ep.,PG-13 - Teens 13 or older,8.93,#17,#145,"1,104,655","60,229",408387,"Edo is a city that was home to the vigor and ambition of samurai across the country. However, following feudal Japan's surrender to powerful aliens known as the ""Amanto,"" those aspirations now seem unachievable. With the once-influential shogunate rebuilt as a puppet government, a new law is passed that promptly prohibits all swords in public. Enter Gintoki Sakata, an eccentric silver-haired man who always carries around a wooden sword and maintains his stature as a samurai despite the ban. As the founder of Yorozuya, a small business for odd jobs, Gintoki often embarks on endeavors to help other people—though usually in rather strange and unforeseen ways. Assisted by Shinpachi Shimura, a boy with glasses supposedly learning the way of the samurai; Kagura, a tomboyish girl with superhuman strength and an endless appetite; and Sadaharu, their giant pet dog who loves biting on people's heads, the Yorozuya encounter anything from alien royalty to scuffles with local gangs in the ever-changing world of Edo. [Written by MAL Rewrite]","[""Sequel (TV) Gintama'"", 'Adaptation (Manga) Gintama']",Gintama,"Gin Tama, Silver Soul, Yorinuki Gintama-san",,['Shounen'],,,,,
30,Darker than BLACK -黒の契約者-,Darker than Black,['TV'],25,Finished Airing,"Apr 6, 2007 to Sep 28, 2007",['Spring 2007'],Fridays at 01:25 (JST),"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Movic', 'Myrica Music', 'Fonishia']",['Funimation'],['Bones'],Original,"['Action', 'Mystery', 'Sci-Fi']",,24 min. per ep.,R - 17+ (violence & profanity),8.05,#605,#178,"974,576","16,760",445296,"It has been 10 years since Heaven's Gate appeared in South America and Hell's Gate appeared in Japan, veiling the once familiar night sky with an oppressive skyscape. Their purposes unknown, these Gates are spaces in which the very laws of physics are ignored. With the appearance of the Gates emerged Contractors, who, in exchange for their humanity, are granted supernatural abilities. In the Japanese city surrounding Hell's Gate, Section 4 Chief Misaki Kirihara finds herself at odds with an infamous Contractor codenamed Hei. Called ""Black Reaper"" in the underground world, Hei, like his associates, undertakes missions for the mysterious and ruthless Syndicate while slowly peeling back the dark layers covering a nefarious plot that threatens the very existence of Contractors. From the mind of Tensai Okamura comes a sci-fi thriller taking the form of a subtle exposé on a war in which political positions and justice have no sway—a war waged exclusively in the shadows. [Written by MAL Rewrite]","['Sequel (Special) Darker than Black: Kuro no Keiyakusha Gaiden', 'Adaptation (Manga) Darker than Black: Kuro no Keiyakusha']",Darker than Black: Kuro no Keiyakusha,DTB,,,Darker than Black,['Super Power'],,Darker Than Black,
31,ディー・グレイマン,D.Gray-man,['TV'],103,Finished Airing,"Oct 3, 2006 to Sep 30, 2008",['Fall 2006'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Half H.P Studio', 'Sony Music Entertainment']",['Funimation'],['TMS Entertainment'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,8.00,#662,#303,"710,696","13,699",291835,"Losing a loved one is so painful that one may sometimes wish to be able to resurrect them—a weakness that the enigmatic Millennium Earl exploits. To make his mechanical weapons known as ""Akuma,"" he uses the souls of the dead that are called back. Once a soul is placed in an Akuma, it is trapped forever, and the only way to save them is to exorcise them from their vessel using the Anti-Akuma weapon, ""Innocence."" After spending three years as the disciple of General Cross, Allen Walker is sent to the Black Order—an organization comprised of those willing to fight Akuma and the Millennium Earl—to become an official Exorcist. With an arm as his Innocence and a cursed eye that can see the suffering souls within an Akuma, it's up to Allen and his fellow Exorcists to stop the Millennium Earl's ultimate plot: one that can lead to the destruction of the world. [Written by MAL Rewrite]","['Sequel (TV) D.Gray-man Hallow', 'Adaptation (Manga) D.Gray-man']",D.Gray-man,"D. Gray-man, D. Grey-man",,['Shounen'],,['Urban Fantasy'],,,
32,クレイモア,Claymore,['TV'],26,Finished Airing,"Apr 4, 2007 to Sep 26, 2007",['Spring 2007'],Wednesdays at 01:26 (JST),"['VAP', 'Avex Entertainment', 'Nippon Television Network', 'D.N. Dream Partners']",['Funimation'],['Madhouse'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,R+ - Mild Nudity,7.73,#1208,#315,"695,403","8,620",335585,"When a shapeshifting demon with a thirst for human flesh, known as ""youma,"" arrives in Raki's village, a lone woman with silver eyes walks into town with only a sword upon her back. She is a ""Claymore,"" a being manufactured as half-human and half-youma, for the express purpose of exterminating these monsters. After Raki's family is killed, the Claymore saves his life, but he is subsequently banished from his home. With nowhere else to go, Raki finds the Claymore, known as Clare, and decides to follow her on her journeys. As the pair travel from town to town, defeating youma along the way, more about Clare's organization and her fellow warriors comes to light. With every town cleansed and every demon destroyed, they come closer to the youma on which Clare has sought vengeance ever since she chose to become a Claymore. [Written by MAL Rewrite]","['Adaptation (Manga) Claymore', '']",Claymore,,,['Shounen'],,['Gore'],,,
33,らき☆すた,Lucky☆Star,['TV'],24,Finished Airing,"Apr 8, 2007 to Sep 17, 2007",['Spring 2007'],Mondays at 00:00 (JST),"['Lantis', 'Kadokawa Shoten', 'Rakuonsha', 'KlockWorx', 'Lucky Paradise']","['Funimation', 'Bandai Entertainment', 'Kadokawa Pictures USA']",['Kyoto Animation'],['4-koma manga'],,"['CGDCT', 'Gag Humor', 'Otaku Culture', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,7.75,#1151,#334,"671,404","12,756",331151,"Lucky☆Star follows the daily lives of four cute high school girls—Konata Izumi, the lazy otaku; the Hiiragi twins, Tsukasa and Kagami (sugar and spice, respectively); and the smart and well-mannered Miyuki Takara. As they go about their lives at school and beyond, they develop their eccentric and lively friendship and making humorous observations about the world around them. Be it Japanese tradition, the intricacies of otaku culture, academics, or the correct way of preparing and eating various foods—no subject is safe from their musings. [Written by MAL Rewrite]","['Sequel (OVA) Lucky☆Star: Original na Visual to Animation', 'Adaptation (Manga) Lucky☆Star']",Lucky☆Star,Lucky Star,['Comedy'],,,,,,
34,ラブ★コン,Lovely Complex,['TV'],24,Finished Airing,"Apr 7, 2007 to Sep 29, 2007",['Spring 2007'],Saturdays at 17:30 (JST),"['TBS', 'TAP', 'Sony Music Entertainment', 'Shueisha', 'Nichion']",['Discotek Media'],['Toei Animation'],['Manga'],"['Comedy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,8.03,#628,#374,"617,207","10,572",303575,"Love is unusual for Risa Koizumi and Atsushi Ootani, who are both striving to find their ideal partner in high school—172 cm tall Koizumi is much taller than the average girl, and Ootani is much shorter than the average guy at 156 cm. To add to their plights, their crushes fall in love with each other, leaving Koizumi and Ootani comically flustered and heartbroken. To make matters worse, they're even labeled as a comedy duo by their homeroom teacher due to their personalities and the stark difference in their heights, and their classmates even think of their arguments as sketches. Lovely★Complex follows Koizumi and Ootani as they encourage each other in finding love and become close friends. Apart from their ridiculous antics, they soon find out an unexpected similarity in their music and fashion tastes. Maybe they possess a chemistry yet unknown, but could love ever bloom between the mismatched pair? [Written by MAL Rewrite]","['Adaptation (Manga) Lovely★Complex', '']",Lovely★Complex,"Love★Com, Love Com",,['Shoujo'],Lovely Complex,['School'],,Lovely Complex,Lovely Complex
35,家庭教師ヒットマンREBORN!,Reborn!,['TV'],203,Finished Airing,"Oct 7, 2006 to Sep 25, 2010",['Fall 2006'],Saturdays at 10:30 (JST),"['TV Tokyo', 'Dentsu', 'Marvelous Entertainment', 'Pony Canyon', 'd-rights']","['VIZ Media', 'Discotek Media']",['Artland'],['Manga'],"['Action', 'Comedy']","['Organized Crime', 'Super Power']",24 min. per ep.,PG-13 - Teens 13 or older,8.12,#500,#415,"570,911","16,014",264927,"There is no putting it lightly—Tsunayoshi Sawada is just no good. He is clumsy, talentless, and desperately in love with the school idol Kyouko Sasagawa, a girl so completely out of his league. Dubbed ""Loser Tsuna"" by his classmates, he seems to be the very personification of failure in the guise of a middle-schooler. Tsuna's boring life takes an extraordinary twist when he encounters the mysterious Reborn, who happens to be a hitman... and shockingly, a baby! Sent from the strongest Mafia family in Italy, Reborn is assigned the daunting mission of preparing the dull middle schooler to succeed the ninth boss of the notorious Vongola family, who is on the brink of retirement. The dull boy has a grueling road ahead, but with the help of his new criminal affiliates and his peculiar home tutor, perhaps even Loser Tsuna can achieve greatness. [Written by MAL Rewrite]","['Adaptation (Manga) Katekyou Hitman Reborn!', '']",Katekyou Hitman Reborn!,"Kateikyoushi Hitman Reborn!, Home Tutor Hitman Reborn!",,['Shounen'],Mon prof le tueur Reborn!,,,,Reborn!
