,Japanese,English,German,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Spanish,Genre,Theme,Demographic,Demographics
74,聖闘士星矢Ω,,,,['TV'],97,Finished Airing,"Apr 1, 2012 to Mar 30, 2014",['Spring 2012'],Sundays at 06:30 (JST),"['Dentsu', 'TV Asahi']","None found,",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,6.29,#8367,#3272,"51,171",138,25563,"The god of war and guardian of his namesake planet, Mars, was once sealed away by Seiya, but time has passed and his revival is at hand. Meanwhile, Saori Kido (Athena) is raising the boy Kouga, whose life Seiya saved, and he's been training every day to become a Saint in order to prepare for the coming crisis... Unaware of his destiny, when Kouga awakens to the power of his Cosmo hidden inside him, the curtain will rise upon the legend of a new Saint. (Source: ANN)","['Prequel (Movie) Saint Seiya: Tenkai-hen Josou - Overture', 'Adaptation (Manga) Saint Seiya Omega: New Cross Tanjou-hen']",Saint Seiya Omega,Saint Seiya Ω,,,['Mythology'],['Shounen'],
75,アイカツ！アイドルカツドウ！,,,,['TV'],178,Finished Airing,"Oct 8, 2012 to Mar 31, 2016",['Fall 2012'],Thursdays at 18:30 (JST),"['TV Tokyo', 'Bandai Visual', 'Dentsu']","None found,","['Sunrise', 'Bandai Namco Pictures']",Original,,"['Idols (Female)', 'Music', 'School']",24 min. per ep.,PG - Children,7.47,#2053,#3497,"45,719",918,15215,"An idol's brilliance illuminates the dreams of humanity. Starlight Academy, a holy ground for celebrities in training, seeks to realize this belief. Behind its rigorous entrance requirements lie not only the top young stars in the entertainment business, but some of the best memories these students will ever have. Or so Aoi Kiriya believes. Alongside her best friend Ichigo, Aoi decides to apply for the prestigious private school in hopes of living up to the praise of the biggest idol in the world: Mizuki Kanzaki. As they journey through the numerous laughs, friendships, and heartbreaks that await them, can the two girls light up the lives of others as Mizuki has done for them? Whether it be chopping down Christmas trees, traversing obstacle courses, or even rock climbing, there's always a playful new adventure to be found in the world of Aikatsu!. [Written by MAL Rewrite]","['Sequel (Movie) Aikatsu!: Nerawareta Mahou no Aikatsu! Card', '']",Aikatsu!,"Aikatsu! Idol Katsudou! Idol ga Tsudou!, Aidoru ga Tsudou!, Aikatsu! 2, Idol ga Tsudou! 2",,['Slice of Life'],,,
76,遊☆戯☆王ZEXALⅡ（セカンド）,Yu-Gi-Oh! Zexal II,Yu☆Gi☆Oh! Zexal Staffel 2,Yu☆Gi☆Oh! Zexal Saison 2,['TV'],73,Finished Airing,"Oct 7, 2012 to Mar 23, 2014",['Fall 2012'],Sundays at 17:30 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Konami Cross Media NY']","None found,",['Gallop'],['Manga'],"['Action', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,6.91,#4787,#3607,"43,113",255,22931,"After defeating a mysterious enemy, Yuuma Tsukumo, along with the help of Kaito Tenjou and Ryouga ""Shark"" Kamishiro, has thwarted the Barians' plans. However, Yuuma is still on a quest to retrieve the Number Cards to restore Astral's memories. The Seven Barian Emperors catch wind of Yuuma and Astral's endeavors and begin to collect the cards themselves to achieve their ultimate goal: destroying Astral's world in exchange for saving their own. Though only five of the emperors are present, they unanimously decide on annihilating Astral and Yuuma once and for all. Elsewhere, with their newfound powers of ZEXAL, Astral and Yuuma work to eliminate the enemy force that threatens Earth and the rest of the universe. Yu☆Gi☆Oh! Zexal Second unveils the mysteries and unpleasant surprises that lie in the wake of Yuuma's adversities. As Astral struggles to accept his past and the consequences it may have brought, will the gods continue to shower their fortune upon Yuuma on yet another perilous adventure? [Written by MAL Rewrite]","['Prequel (TV) Yu☆Gi☆Oh! Zexal', '']",Yu☆Gi☆Oh! Zexal Second,"Yugioh, Yu-Gi-Oh! Zexal 2nd, Yuu Gi Ou! Zexal Second, Yuu Gi Ou! Zexal II, Yu-Gi-Oh! Zexal Second",Yu☆Gi☆Oh! Zexal Temporada 2,,['Strategy Game'],['Shounen'],
77,銀河へキックオフ!!,Victory Kickoff!!,,Victory Kickoff,['TV'],39,Finished Airing,"Mar 26, 2012 to Feb 26, 2013",['Spring 2012'],Unknown,"['NHK', 'Nihon Ad Systems', 'NHK Enterprises']","None found,",['TYO Animations'],Novel,,,25 min. per ep.,PG - Children,7.20,#3356,#4425,"28,376",148,12852,"The story follows a boy who was in a soccer team, but it was disbanded due to not enough players. However, after the boy meets a female professional soccer player, he aims to bring his soccer team back. (Source: AniDB)","['Adaptation (Manga) Ginga e Kickoff!!', '']",Ginga e Kickoff!!,,,['Sports'],['Team Sports'],,
78,ちび☆デビ！,,,,['TV'],75,Finished Airing,"Oct 10, 2011 to Feb 17, 2014",['Fall 2011'],Mondays at 18:20 (JST),"['Shogakukan-Shueisha Productions', 'Half H.P Studio']","None found,",['SynergySP'],['Manga'],"['Slice of Life', 'Supernatural']","['Childcare', 'Mythology']",5 min. per ep.,PG - Children,6.91,#4793,#4914,"22,214",80,7691,"Sawada Honoka is a 14-year-old girl who is very timid. She easily gets bullied by other classmates. Honoka is a non-believer in God, Angels, and Devils. Though one day, a devil baby was dropped into her room while she was sleeping. What will Honoka believe in now? (Source: PocketScans)","['Adaptation (Manga) Chibi☆Devi!', '']",Chibi☆Devi!,Chibi☆Devil! Chibi Devi!,,,,['Shoujo'],
79,ドラえもん (2005),,,,['TV'],Unknown,Currently Airing,"Apr 22, 2005 to ?",['Spring 2005'],Fridays at 19:00 (JST),['TV Asahi'],"None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Sci-Fi']",,25 min.,PG - Children,7.72,#1248,#5000,"21,408",239,9584,"Doraemon (2005) is the most recent anime series based on Fujiko Fujio's manga of the same name. It is the 2005 version of 1979 series, with certain changes in the animation and other things. Doraemon is a cat-like robot who appears in the present to steer Nobita/Noby, who is a dumb, naive and clumsy boy on the right path in order to secure his future. Nobita's love interest is Shizuka Minamoto/Sue, his frenemies are Takeshi Goda/Big G and Suneo/Sneech. (Source: Wikipedia)","['Prequel (TV) Doraemon (1979)', 'Adaptation (Manga) Doraemon']",Doraemon (2005),,,,['Anthropomorphic'],,"['Kids', 'Shounen']"
80,ふるさと再生 日本の昔ばなし,Folktales from Japan,Folktales from Japan,Folktales from Japan,['TV'],258,Finished Airing,"Apr 1, 2012 to Mar 26, 2017",['Spring 2012'],Sundays at 09:00 (JST),"['TV Tokyo', 'Sony Music Entertainment', 'Peter Pan Creation']","None found,",['Tomason'],Other,,,24 min. per ep.,G - All Ages,6.93,#4665,#6444,"11,153",26,2789,"Like in any culture, Japanese kids grow up listening to the stories repeatedly told by their parents and grandparents. The boy born from a peach; the princess from the moon who is discovered inside a bamboo; the old man who can make a dead cherry tree blossom, etc. These short stories that teach kids to see both the dark and bright sides of life have passed traditional moral values from generation to generation. Each half-hour episode of Folktales from Japan consists of three self-contained stories, well-known and unknown, with a special focus on heartwarming stories that originate from Tohoku, the northern region heavily touched by the earthquake of 2011. May this program help cheer up earthquake victims and cast a light of hope for them? (Source: Crunchyroll)","['Sequel (TV) Furusato Meguri: Nippon no Mukashibanashi', '']",Furusato Saisei: Nippon no Mukashibanashi,Hometown Rebuilding: Folktales from Japan,Historias Tradicionales Japonesas para la Reconstrucción de los Pueblos,['Supernatural'],['Historical'],['Kids'],
81,黒魔女さんが通る!!,Here Comes the Black Witch!!,,,['TV'],60,Finished Airing,"Apr 4, 2012 to Feb 19, 2014",['Spring 2012'],Unknown,['NHK'],"None found,",['Shin-Ei Animation'],Novel,"['Comedy', 'Slice of Life']",,7 min. per ep.,PG - Children,6.55,#6744,#6667,"10,303",9,2979,"Kurotori Chiyoko, a 5th-grader in elementary school, loves the occult. One day, a friend requests her to do a love fortune-telling. Chiyoko tries to summon Cupid, but thanks to a stuffy nose, accidentally summons a witch named Gyubid instead! From that day on, Chiyoko starts learning witchcraft from Gyubid, the self-proclaimed hottest instructor of the magic world. The training regimen is tough, and punishment for slacking is harsh. Fortunately, Chiyoko is able to keep her extra-curricular studies secret, aided by the fact that no one else can see Gyubid. (Source: AnimeNfo.com)","['Adaptation (Light Novel) Kuromajo-san ga Tooru!!', '']",Kuromajo-san ga Tooru!!,Kuromajyo-san ga Toru!!,,,['School'],,
82,獣旋バトル モンスーノ,Monsuno: World Master,,,['TV'],52,Finished Airing,"Oct 3, 2012 to Sep 25, 2013",['Fall 2012'],Wednesdays at 18:00 (JST),"['TV Tokyo', 'Dentsu', 'Dentsu Tec']",['Dentsu Entertainment USA'],['Larx Entertainment'],Original,"['Action', 'Adventure']",,22 min. per ep.,PG - Children,6.47,#7275,#6743,"10,085",47,4149,"Chase Suno and his friends, Jinja and Bren, are on a search for Chase's father, Jeredy Suno. However, they soon become involved in something else upon reaching their father's lab and becoming involved with an organism known as Monsuno. Chase, choosing to side with his father's work, denies S.T.O.R.M. access to the Monsuno and escapes. They are now on the run from the military organization, S.T.O.R.M., while still looking for Chase's father. However, a mysterious organization also has his eyes set on Chase and the group's Monsuno. (Source: Animeultima)",[],Juusen Battle Monsuno,"Beast Rotation Battle Monsuno, Monsuno: Combat Chaos.",Monsuno,,,,
83,プリティーリズム ディアマイフューチャー,,,,['TV'],51,Finished Airing,"Apr 7, 2012 to Mar 30, 2013",['Spring 2012'],Saturdays at 10:00 (JST),"None found,","None found,","['Tatsunoko Production', 'Dongwoo A&E']",Game,,"['Idols (Female)', 'Music']",23 min. per ep.,PG - Children,6.72,#5786,#6782,"9,929",29,4077,"It is three years after the legendary Prism Queen Cup, and Aira Harune, Rizumu Amamiya, and Mion Takamine have become famed Prism Stars, spreading the glamor and radiance of Prism Shows wherever they perform. However, they encounter an unexpected challenge from a passionate and lively girl, Mia Ageha, who has publicly declared her intent to defeat Aira and become the greatest Prism Star. Sensing her potential, the Prism Show agency Pretty Top recruits Mia alongside three other aspiring Prism Stars—Karin Shijimi, Reina Miyama, and Ayami Ooruri—to form an idol group, Prizmmy. But the road to stardom is not easy: Mia has to deal with an old friend's unexpected appearance, this time as her rival, as well as navigate her way through the alluring yet conniving world of Prism Shows. Nevertheless, with her friends and team by her side, Mia is all the more fired up to march forward and carve the future for herself. [Written by MAL Rewrite]","['Prequel (TV) Pretty Rhythm: Aurora Dream', 'Sequel (TV) Pretty Rhythm: Rainbow Live']",Pretty Rhythm: Dear My Future,,,['Sports'],,,
84,サザエさん,Mrs. Sazae,,,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,24 min.,G - All Ages,6.14,#9124,#7131,"8,794",39,1933,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,,
85,忍たま乱太郎,,,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,,10 min.,G - All Ages,7.08,#4013,#7391,"8,011",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",El Ninja Boy Rantaró,['Comedy'],,['Kids'],
