,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Synonyms,German,Spanish,French,Theme,Genre,Demographics
159,劇場版「SHIROBAKO」C96限定 劇場前売り券告知映像,,['ONA'],1,Finished Airing,"Aug 8, 2019",,,"None found,","None found,",['P.A. Works'],Original,,,56 sec.,G - All Ages,5.58,#11888,#15582,690,2,199,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Shirobako Movie: C96 Gentei Gekijou Maeuriken Kokuchi Eizou,,,,,,,,
160,ドキドキ ゴーストマンション,Pokémon Kids TV: Mysterious Ghost Manor,['ONA'],1,Finished Airing,"Sep 20, 2019",,,"None found,","None found,","None found,",Game,,['Kids'],5 min.,PG - Children,5.43,#12319,#15935,634,0,260,Join Mimikyu as it explores a mansion filled with spooky scary Pokémon! With Ghost type Pokémon haunting every nook and cranny of the mansion… Will Mimikyu even make it back safe and sound? Watch and find out! (Source: Official YouTube Channel),[],Dokidoki Ghost Mansion,,Pokémon Fun Video,,,,,['Fantasy'],
161,ジャパンダ,Japanda,['ONA'],1,Finished Airing,"Sep 3, 2019",,,"None found,","None found,",['Fanworks'],Original,,,39 sec.,G - All Ages,4.92,#13300,#16113,609,0,304,"TAKARA TOMY A.R.T.S announced on September 3 that it is developing merchandise and media around a new character named ""Japanda"" with an animated short. Ryou Taniguchi (designer for Tokyo 2020 Olympic and Paralympic Games' official mascots) designed the character. The target audience for the character is women in their late teens and 20s. TAKARA TOMY A.R.T.S plans to release plush dolls, apparel, capsule toys, and more merchandise for the character starting in spring 2020. (Source: ANN)",[],Japanda,"['Anthropomorphic', 'Music']",,,,,,,
162,アニマギア,Animagear,['ONA'],1,Finished Airing,"Jul 1, 2019",,,"None found,","None found,","None found,",Original,,['Kids'],42 sec.,G - All Ages,5.36,#12532,#17111,493,0,222,"A promotional video for the new Bandai candy-toy line with Shokugan. Kids buy packaged candy boxes and pieces of the toy are in it, kids have to assemble their Animagear robot animal action figure. Certain ones are also interchangeable with parts for a hybrid robot animal. Candy-toys will hit stores in August with five Animagears in the line-up.",[],Animagear,,,,,,['Mecha'],,
163,モノのかみさま ここたま,,['ONA'],12,Finished Airing,"Sep 26, 2019 to Feb 21, 2020",,,['OLM'],"None found,","None found,",Original,"['Fantasy', 'Slice of Life']",['Kids'],5 min. per ep.,G - All Ages,[],#20402,#17227,482,2,,"New Cocotama series, to be streamed on YouTube channel.",[],Mono no Kamisama Cocotama,,,,,,,,
164,穿越火线：幽灵计划,CrossFire: Project Ghost,['ONA'],13,Finished Airing,"Jul 12, 2019 to 2019",,,"None found,","None found,","None found,",Game,"['Action', 'Mystery']",,21 min. per ep.,PG-13 - Teens 13 or older,[],#17351,#17263,479,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Chuanyue Huoxian: Youling Jihua,"['Detective', 'Military', 'Strategy Game']",,,,,,,
165,介護と生きる,,['ONA'],1,Finished Airing,"Sep 30, 2019",,,"None found,","None found,",['Animation Lab Japan'],Original,,,3 min.,G - All Ages,6.00,#9923,#17355,470,0,183,"A woman is troubled by the recent loss of her father, but life finally becomes too much to bear when her mother’s mental and physical health starts to decline as well. In spite of the overwhelming situation, proper insurance reassures the mourning family. [Written by MAL Rewrite]",[],Kaigo to Ikiru,,Living with Care,,,,['Music'],['Drama'],
166,狭狂しい家,,['ONA'],1,Finished Airing,"Jul 16, 2019",,,"None found,","None found,","None found,",Original,,,1 min.,PG - Children,5.22,#12881,#17660,445,0,174,A web commercial by for the Sema Kuruoshii Ie horror attraction at Nasu Highland Park.,[],Sema Kuruoshii Ie,,,,,,,['Horror'],
167,"しろのカンガ""ルー""のうた","White kanga""roo""'s song",['ONA'],1,Finished Airing,"Sep 1, 2019",,,"None found,","None found,","None found,",Original,,['Kids'],48 sec.,G - All Ages,4.48,#13657,#18123,410,0,204,"A musical web short by Asami Ike made in honor of Roo-kun, an albino kangaroo born this year at the Kanazawa Zoo. Two versions of the video were posted. One in a normal horizontal video streaming format, and a second in a vertical streaming format meant to accommodate phone users.",[],"Shiro no Kanga""roo"" no Uta",,,,,,['Music'],,
168,誓い,Day of Promise,['ONA'],1,Finished Airing,"Aug 18, 2019",,,"None found,","None found,","None found,",Original,,,6 min.,G - All Ages,6.12,#9258,#18266,401,0,169,"A Tekken short commissioned by Hoken Ichiba, a insurance marketplace company. It focuses on a father and son as the son tries to realize the oath he gave his father.",[],Chikai,,,,,,,['Slice of Life'],
169,鷹の爪団×ウチコミ！,,['ONA'],5,Finished Airing,"Aug 19, 2019 to Aug 29, 2019",,,"None found,","None found,",['DLE'],Original,,,1 min. per ep.,G - All Ages,[],#14709,#18303,399,0,,"A collaboration between Eagle Talon and Uchicomi the real estate company. Eagle Talon informs various people about Uchicomi's app and easy ways for them to find housing meeting their specific requirements. Episodes were streamed on Uchicomi's official YouTube channel and later, a compilation of all of them, were posted to DLE's official YouTube channel.",[],Taka no Tsumedan x Uchicomi!,,"Eagle Talon, Himitsukessha Taka no Tsume, The Frogman Show",,,,['Parody'],['Comedy'],
170,阿莉塔的睡前故事,A Bedtime Tale,['ONA'],1,Finished Airing,"Jul 23, 2019",,,"None found,","None found,",['Studio Tumble'],Original,"['Action', 'Fantasy']",,18 min.,PG-13 - Teens 13 or older,6.42,#7564,#18290,399,1,128,"The soul which looks up to the giant dragon originates the shadow. The light guides the young archer to finding the courage against the darkness. ... ""We all have a shadow in our hearts."" The grandma complains that her stories are getting used up. (Source: Studio Tumble)",[],Alita De Shui Gian Gushi,,,,,,,,
171,太乙仙魔录之灵飞纪ⅡI,Magical Legend: Rise to Immortality,['ONA'],26,Finished Airing,"Jul 16, 2019 to Jan 7, 2020",,,"None found,","None found,",['Dancing CG Studio'],Original,"['Action', 'Adventure', 'Fantasy']",,18 min. per ep.,PG-13 - Teens 13 or older,[],#14672,#18609,373,2,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (ONA) Tai Yi Xian Mo Lu: Ling Fei Ji II', 'Sequel (ONA) Tai Yi Xian Mo Lu: Ling Fei Ji IV']",Tai Yi Xian Mo Lu: Ling Fei Ji III,"['Historical', 'Martial Arts']",Tai Yi Xian Mo Lu Zhi Ling Fei Ji 3rd Season,,,,,,
172,鷹の爪 吉田くんの×（バッテン）ファイル～夏休みミステリー・アドベンチャー～,,['ONA'],5,Finished Airing,"Jul 20, 2019 to Aug 17, 2019",,,"None found,","None found,","None found,",Original,"['Comedy', 'Mystery', 'Sci-Fi', 'Supernatural']",,6 min. per ep.,G - All Ages,[],#14707,#18766,360,0,,"A mini side-story ""Summer Mystery Adventure"" series to the Taka no Tsume 8: Yoshida-kun no Batten File film. Though the film was released three years ago, it has a manga counterpart that's still running in CoroCoro Comic whose 2nd tankoubon volume was released recently. As well as scifi supernatural stories being very popular in Japan during the summer season.",[],Taka no Tsume Yoshida-kun Batten File: Natsuyasumi Mystery Adventure,,,,,,['Parody'],,
173,请吃红小豆吧！外传 莫相忘,Beanie's Daily,['ONA'],3,Finished Airing,"Jul 19, 2019 to Aug 5, 2019",,,"None found,","None found,",['Making Animation'],Original,,,8 min. per ep.,G - All Ages,[],#21266,#18912,350,1,,Extra stories of Beanie's Daily.,[],Qing Chi Hong Xiaodou Ba! Wai Zhuan: Mo Xiang Wang,"['Anthropomorphic', 'Historical']",Beanie's Daily Extra Story: Don't Forget Me,,,,,['Slice of Life'],
174,デラックスだよ！貝社員,Shellfish Employee,['ONA'],25,Finished Airing,"Jul 19, 2019 to Mar 19, 2021",,,"None found,","None found,",['DLE'],Original,,,2 min. per ep.,G - All Ages,[],#17594,#19229,329,0,,"With the conclusion of Asa Da yo! Kaishain's TV broadcast it gets reborn with a brand new story and new characters (though some will make a come back). This time it follows the human Kamoyama who was on his way to becoming a corporate elite when 1 mistake sent him to work as the manager for the Sale Department Z filled with selfish (shellfish) incompetent employees. He aims to regain his corporate elitism by converting these clamployees into decent members of the workforce with good sales results. But their laziness knows no bounds. The webisodes, which are being released on DLE's official YouTube channel, are slated to have official English subtitles.",[],Deluxe da yo! Kaishain,,Clamployee,,,,['Workplace'],['Comedy'],
175,メギド７２ 長き戦旅の傍らで,,['ONA'],5,Finished Airing,"Jul 27, 2019 to Aug 23, 2019",,,"None found,","None found,",['V-sign'],Game,"['Action', 'Adventure', 'Fantasy']",,4 min. per ep.,PG-13 - Teens 13 or older,[],#20096,#19374,321,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Megido 72: Nagaki Sen Tabi no Katawara de,,,,,,,,
176,ニンジャボックス,,['ONA'],6,Finished Airing,"Aug 8, 2019 to Sep 12, 2019",,,"None found,","None found,",['Tatsunoko Production'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Kids'],11 min. per ep.,PG - Children,[],#20670,#19353,322,0,,"In the anime's story, Hiroto longs to build a secret base near his house, and in his house's storeroom he meets a ninja and ""Nintuber"" named Tonkachi. Tonkachi, who knows about the existence of the ""Ninja Box,"" forces Tonkachi to go to the ""Village of Tatemakuri,"" where they meet a talking dog named Tatezou. (Source: ANN)","['Sequel (ONA) Ninja Box 2nd Season', '']",Ninja Box,,,,,,,,
177,コバラサポート×紙兎ロペ,,['ONA'],2,Finished Airing,"Jul 15, 2019",,,"None found,","None found,","None found,",Original,"['Comedy', 'Slice of Life']",,1 min. per ep.,G - All Ages,[],#19484,#19373,321,0,,"A collaboration between Taisho Pharmaceutical Co., Ltd.'s Kobara Support product and Kamiusagi Rope. Kobara Support is a fruit flavored drink for those with an upset stomach, dieting, or ill. These people would have difficulty eating normal foods so when Kobara Support is drunk on an empty stomach (which is high in acid), a chemical reaction occurs where the stomach acid and the pectin fiber to become carbonated foam. This expands and doubles in volume while turning into jelly. For the drinker, their stomach becomes physically full thus shutting off the hunger receptors letting continue their day without stomach pains.",[],Kobara Support x Kamiusagi Rope,,,,,,,,
178,,,['ONA'],1,Finished Airing,"Sep 5, 2019",,,"None found,","None found,","None found,",Original,,,1 min.,G - All Ages,5.67,#11504,#19308,324,0,132,Animated introduction for Japan Media Arts Festival 2019.,[],23rd Japan Media Arts Festival Introduction,,Introduction for Japan Media Arts Festival 2019,,,,['Music'],,
179,ハタチの龍馬 with クロフネくん！,,['ONA'],Unknown,Currently Airing,"Aug 1, 2018 to ?",,,"None found,","None found,",['DLE'],Original,,['Kids'],2 min.,G - All Ages,[],#18450,#19508,312,0,,"A Shinagawa ward tourism anime. The anime was made in honor of the 150th anniversary of the Meiji Restoration. It stars Sakamoto Ryouma, a historical figure who took part in overthrowing the Tokugawa shogunate. He spent most of his youth in Shinagawa under the Tosa Clan residence and a statue of him was erected in his honor. He's considered a hero of Edo and worked as a cost guard/battery staff when Commodore Perry landed in Japan with black ships. Here, the anime has a young Ryouma encounter Kurofune-kun, a black ship chibi mascot, as they time slip to modern Shinagawa. Kurofune-kun shows him the sights and they meet other historical figures who time slipped.",[],Hatachi no Ryouma with Kurofune-kun!,,Shinagawa Anime Sonosan,,,,['Historical'],['Sci-Fi'],
180,南極ペンギンカラーズ,Antarctic Penguin Colors,['ONA'],3,Finished Airing,"Sep 14, 2019 to Apr 2, 2022",,,"None found,","None found,","None found,",Original,,,4 min. per ep.,G - All Ages,6.08,#9530,#19572,309,0,125,Three penguins and Nicolas find things to do in the Antarctic.,[],Nankyoku Penguin Colors,,,,,,,['Slice of Life'],
181,THE PEAK,The Peak,['ONA'],1,Finished Airing,"Sep 26, 2019",,,"None found,","None found,",['Marza Animation Planet'],Original,,['Kids'],5 min.,G - All Ages,5.80,#10950,#19818,295,0,130,"THE PEAK is Marza Animation Planet's second short film created entirely using the Unity game engine. In the sequel to the short film THE GIFT, Sarah goes off on another adventure with her new pal, Steven. This is story based on familiar childhood memories of being scared to go to the bathroom in the middle of the night. Sarah has to venture through mysterious woods as she avoids various obstacles such as dancing toys and flood waters. Can she and Steven make it to the bathroom before she has an accident? (Source: YouTube)","['Prequel (ONA) The Gift', '']",The Peak,,,,,,,['Fantasy'],
182,オチビサン短編ムービー,,['ONA'],2,Finished Airing,"Jul 5, 2019 to Jun 16, 2021",,,"None found,","None found,","['Khara', 'Project Studio Q']",['Manga'],,['Kids'],42 sec. per ep.,G - All Ages,5.98,#10007,#19867,292,0,103,Short videos to commemorate the releases of volumes 9 and 10 of Ochibi-san.,"['Adaptation (Manga) Ochibi-san', '']",Ochibi-san Tanpen Movie,"['Anthropomorphic', 'Iyashikei']",,,,,,['Slice of Life'],
183,末世觉醒之入侵,,['ONA'],13,Finished Airing,"Jul 11, 2019 to Oct 3, 2019",,,['Oriental Creative Color'],"None found,","None found,",Original,"['Action', 'Sci-Fi']",,19 min. per ep.,PG-13 - Teens 13 or older,[],#20421,#20270,271,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (ONA) Moshi Juexing: Ruqin', 'Sequel (ONA) Moshi Juexing: Suyuan']",Moshi Juexing: Ruqin 2nd Season,"['Mecha', 'Military']",The Invasion of Awakening,,,,,,
184,イチマン,,['ONA'],18,Finished Airing,"Jul 29, 2019 to Aug 28, 2019",,,"None found,","None found,","None found,",Original,,,7 sec. per ep.,G - All Ages,[],#18828,#20381,264,0,,"Web commercials for Livesense's online part-time job search service Machbaito. Machbaito provides a match bonus of up to ¥10,000 to individuals hired using their service. To deliver this message, they created the mascot Ichiman, a fearless hero who charges in to any situation to deliver new hires their money.",[],Ichiman,,Machbaito,,,,,['Comedy'],
