,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Spanish,French,Theme,German,Themes,Genre,Demographics
68,花咲ける青少年,Hanasakeru Seishonen,['TV'],39,Finished Airing,"Apr 5, 2009 to Feb 14, 2010",['Spring 2009'],Sundays at 23:01 (JST),"['NHK', 'Sogo Vision']",['Discotek Media'],['Pierrot'],['Manga'],"['Drama', 'Romance']",['Shoujo'],24 min. per ep.,PG-13 - Teens 13 or older,7.69,#1331,#2742,"71,312",608,26937,"Kajika Louisa Kugami Burnsworth is the only daughter of Harry Burnsworth, an influential and respected industrialist who has the power to move the world. There was a threat on Kajika’s life when she was just two years old, and her mother died protecting her. After this tragic incident, Harry sent his only child to an isolated island, Giviolle, where she was raised by the island’s native, Maria. Kajika’s companions during her time there include a white leopard named Mustafa and a boy named Li Ren Fang, who visited her two or three times a year. Kajika, now fourteen, returns to her father's side, only to be told to begin a game to find her future husband. Harry makes sure that Kajika willingly participates in this game by telling her that she needs to face the harshness of her fate along with the man she chooses to be her husband. She needs to decide among the three candidates that Harry has personally chosen, but it won’t be easy. Kajika must figure out who they are and where they are without any information to go on except that they all possess an irresistible brilliance and charm. All the while, the men aren't even aware that they are the chosen ones. Kajika must also choose wisely, as her partner has to willingly accept her to be his bride. Hansakeru Seishounen revolves around endearing love, intense passion, noble friendship, undying loyalty, family relations, and political intrigue. The heaviness of Kajika’s fate is real, the threat on Kajika’s life is inevitable, and the husband game is more than just a mere game. Harry needs to find a suitable partner to protect his daughter before someone discovers Kajika’s deep secret—a secret even she is unaware of.","['Adaptation (Manga) Hanasakeru Seishounen', '']",Hanasakeru Seishounen,,Hanasakeru Seishonen,Hanasakeru Seishonen,['Reverse Harem'],Hanasakeru Seishonen,,,
69,ドラえもん (2005),,['TV'],Unknown,Currently Airing,"Apr 22, 2005 to ?",['Spring 2005'],Fridays at 19:00 (JST),['TV Asahi'],"None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Sci-Fi']",,25 min.,PG - Children,7.71,#1259,#5003,"21,420",239,9589,"Doraemon (2005) is the most recent anime series based on Fujiko Fujio's manga of the same name. It is the 2005 version of 1979 series, with certain changes in the animation and other things. Doraemon is a cat-like robot who appears in the present to steer Nobita/Noby, who is a dumb, naive and clumsy boy on the right path in order to secure his future. Nobita's love interest is Shizuka Minamoto/Sue, his frenemies are Takeshi Goda/Big G and Suneo/Sneech. (Source: Wikipedia)","['Prequel (TV) Doraemon (1979)', 'Adaptation (Manga) Doraemon']",Doraemon (2005),,,,['Anthropomorphic'],,,,"['Kids', 'Shounen']"
70,フレッシュプリキュア！,,['TV'],50,Finished Airing,"Feb 1, 2009 to Jan 30, 2010",['Winter 2009'],Sundays at 08:30 (JST),"None found,","None found,",['Toei Animation'],Original,"['Action', 'Comedy']",,25 min. per ep.,G - All Ages,7.38,#2449,#5319,"18,434",176,7448,"Love Momozono is a 14-year-old student at Yotsuba Junior Highschool that tends to care more for others than for herself. One day she visits a show of the famous dance unit ""Trinity"" and decides to become a dancer, too. On the same event, subordinates of the Labyrinth Kingdom show up who want to collect the unhappiness of the audience. Love gets the power to change into Cure Peach and fights them. Soon after, she is joined by her good friends Miki, who is Cure Berry, and Inori, who becomes Cure Pine. (Source: ANN)","['Adaptation (Manga) Fresh Precure!', '']",Fresh Precure!,Fresh Pretty Cure!,,,['Mahou Shoujo'],,,,
71,ジュエルペット,Jewelpet,['TV'],52,Finished Airing,"Apr 5, 2009 to Mar 28, 2010",['Spring 2009'],Sundays at 09:30 (JST),"['TV Osaka', 'Sanrio', 'Imagine']","None found,",['Studio Comet'],Original,,,23 min. per ep.,PG - Children,6.80,#5346,#5910,"13,926",43,4475,"When what looks to be a cluster of shooting stars appear in the sky, Rinko Kougyoku and her friend Minami each make a wish. What the girls truly saw were not stars, but 'Jewel Charms' falling to the Earth. These charms were created by three magicians in a magical world names Jewel Land, each housing one of its many native Jewelpets. Although these creatures are free to roam the world in their original form, the magicians sometimes turn them into charms so that they can be carried around with great ease. Most Jewelpets don't find this troublesome, but once a mischievous bunny by the name of Ruby feels overly claustrophobic, she devises her escape. One day, the magicians decide to move the Jewelpets, and task a pelican with delivering them to the Dream Forest. All is well until a strong gust of wind disorients the bird, who then drops all of the charms that he was carrying. Instead of heading towards the Dream Forest, all the Jewelpets but Ruby fall to Rinko's home city on Earth. Someone must go and retrieve them all, and as Ruby was the worst-behaved of the bunch, she is given the task of going to Earth. When Ruby reaches Earth in the form of a red Jewel Charm, she falls into Rinko's water glass, and thus begins a rather unexpected adventure. Rinko, Minami, and Ruby form an alliance to search and gather all of the fallen charms, encountering strange creatures and tons of helpful allies along the way. Will they be able to succesfully bring the Jewelpets home safely, or is Earth full of more danger than they had expected?","['Sequel (TV) Jewelpet Twinkle☆', 'Adaptation (Manga) Jewel Pet']",Jewelpet,Jewel Pet,,,,,"['Anthropomorphic', 'Mahou Shoujo']",['Fantasy'],
72,エレメントハンター,,['TV'],39,Finished Airing,"Jul 4, 2009 to Mar 27, 2010",['Summer 2009'],Saturdays at 18:00 (JST),['NHK'],"None found,","['Heewon Entertainment', 'NHK Enterprises']",Original,,,24 min. per ep.,G - All Ages,6.59,#6527,#5927,"13,846",21,4078,"In 2029, a large scale ground sinkage occurred in the Mediterranean Sea. Chemical elements such as oxygen, carbon, gold, molybdenum, and cobalt disappeared from the earth's crust suddenly. The human population was decreased by 90% in sixty years. Researchers found out that the disappeared elements were drained into a planet ""Nega Earth"", located in another dimension. To save the Earth, a special team called the ""Element Hunters"" is organized. All of the members are under 13 years old, because young and flexible brains are needed to access ""Nega Earth"".",[],Element Hunters,"Elementhunters, Element Hunter",,,,,,['Sci-Fi'],
73,極上!!めちゃモテ委員長,The Best!! Extremely Cool Student Council President,['TV'],51,Finished Airing,"Apr 4, 2009 to Mar 27, 2010",['Spring 2009'],Saturdays at 09:00 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'Ryukyu Asahi Broadcasting']","None found,",['Shogakukan Music & Digital Entertainment'],['Manga'],"['Comedy', 'Romance']",['Shoujo'],24 min. per ep.,PG - Children,6.35,#7973,#7071,"8,985",19,2797,"Mimi Kitagami is a kind, level-headed girl who aims to be the best, coolest student council president of her high school class. However, three trouble-making boys are always causing her grief — and she has a one-sided crush on one of the boys, Ushio Toujou. (Source: ANN)","['Sequel (TV) Gokujou!! Mecha Mote Iinchou Second Collection', 'Adaptation (Manga) Gokujou!! Mecha Mote Iinchou']",Gokujou!! Mecha Mote Iinchou,Gokujo!! Mecha Mote Iincho,,,['School'],,,,
74,サザエさん,Mrs. Sazae,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,24 min.,G - All Ages,6.14,#9130,#7131,"8,800",39,1933,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,,,,
75,こんにちは アン ～Before Green Gables,Before Green Gables,['TV'],39,Finished Airing,"Apr 5, 2009 to Dec 27, 2009",['Spring 2009'],Sundays at 19:30 (JST),"None found,","None found,",['Nippon Animation'],Novel,,,20 min. per ep.,G - All Ages,7.63,#1466,#7221,"8,542",50,2494,The story of what happened to Anne Shirley before she was adopted.,"['Sequel (TV) Akage no Anne', '']",Konnichiwa Anne: Before Green Gables,"Anne of Green Gables Prequel, Akage no Anne Prequel",,,['Historical'],,,['Drama'],
76,忍たま乱太郎,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,['Kids'],10 min.,G - All Ages,7.08,#4017,#7391,"8,013",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",El Ninja Boy Rantaró,,,,,['Comedy'],
77,ちびまる子ちゃん,Little Miss Maruko,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,['Shoujo'],23 min.,G - All Ages,7.34,#2626,#7914,"6,770",62,2183,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),Maruko-chan,Chibi Maruko-chan,,['School'],,,['Comedy'],
78,"ひげぴよ, ヒゲぴよ",,['TV'],39,Finished Airing,"Apr 3, 2009 to Feb 19, 2010",['Spring 2009'],Unknown,['Aniplex'],"None found,",['Kinema Citrus'],Original,,,5 min. per ep.,PG - Children,7.07,#4067,#8168,"6,260",16,2695,"Higepiyo is a little chick with a mustache, who is seeking to aquire masculinity with his friend Hiroshi but ends up being entangled with a skin of heated milk.",[],Higepiyo,Hige Piyo,,,,,,['Comedy'],
79,マリー & ガリー,,['TV'],40,Finished Airing,"Mar 31, 2009 to Mar 23, 2010",['Spring 2009'],Tuesdays at 19:25 (JST),['NHK'],"None found,",['Toei Animation'],Original,,,5 min. per ep.,PG-13 - Teens 13 or older,6.38,#7813,#8654,"5,458",11,1483,"Marika is a gothic lolita who somehow ends up in the mysterious town of Galihabara. There she meets different famous scientists like Galileo Galilei, Marie Skłodowska Curie and Sir Isaac Newton.","['Prequel (Special) Marie & Gali Episode Zero', 'Sequel (TV) Marie & Gali ver. 2.0']",Marie & Gali,"Marie to Gali, Marie and Gali",,,['Educational'],,,['Comedy'],
80,くるねこ,,['TV'],50,Finished Airing,"Jul 5, 2009 to Jun 26, 2010",['Summer 2009'],Saturdays at 11:40 (JST),"['Kadokawa Pictures Japan', 'Kansai Telecasting', 'Tokai Television']","None found,",['DAX Production'],['Manga'],"['Comedy', 'Slice of Life']",,2 min. per ep.,G - All Ages,7.19,#3433,#8797,"5,217",11,1287,Based on a manga about cats and their sake loving owner.,"['Sequel (TV) Kuruneko 2nd Season', 'Adaptation (Manga) Kuruneko']",Kuruneko,Kuru Neko,,,['Pets'],,,,
81,それいけ！アンパンマン,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",['Kids'],24 min.,PG - Children,6.58,#6586,#9190,"4,609",31,1738,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",,,,,,,
82,毎日かあさん,Kaasan: Mom's Life,['TV'],142,Finished Airing,"Apr 1, 2009 to Mar 25, 2012",['Spring 2009'],Unknown,['Nihon Ad Systems'],"None found,","['Gallop', 'TYO Animations', 'Dongwoo A&E']",['Manga'],"['Comedy', 'Slice of Life']",,20 min. per ep.,PG - Children,7.22,#3274,#10187,"3,347",24,1068,Based on Rieko Saibara's humorous semi-autobiographical manga about her life raising her two children.,[],Mainichi Kaasan,"Mainichi Kaa-san, Every Day Mom",Kaasan Mom's Life,Kaasan Mom's Life,['Childcare'],Kaasan Mom's Life,,,
