,Synonyms,Japanese,English,German,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Spanish,Genre,Demographics
86,,サザエさん,Mrs. Sazae,,,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,,24 min.,G - All Ages,6.14,#9121,#7128,"8,793",39,1934,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,
87,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",忍たま乱太郎,,,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,,['Kids'],10 min.,G - All Ages,7.08,#4015,#7390,"8,011",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,,El Ninja Boy Rantaró,['Comedy'],
88,,アイドルタイムプリパラ,,Idol Time Pripara,,['TV'],51,Finished Airing,"Apr 4, 2017 to Mar 27, 2018",['Spring 2017'],Tuesdays at 17:55 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Avex Pictures', 'Takara Tomy A.R.T.S', 'Shogakukan']","None found,","['Tatsunoko Production', 'Dongwoo A&E']",Game,,"['Idols (Female)', 'Music', 'School']",,24 min. per ep.,PG - Children,7.29,#2866,#7460,"7,794",49,2478,"The story focuses on Yui, a girl who lives in the town of Paparajuku, and who dreams of being an idol, even if she realizes that being an idol is next to impossible for her. Her friends often remark on how much she dreams about it. But then, the PriPara idol theme park opens in her town, and that an idol named Laala is coming to town from Parajuku, which only makes Yui dream even bigger. The new PriPara theme park has been updated with new concepts. However, due to a system error, Laala is no longer able to PriPara Change. (Source: ANN)","['Prequel (TV) PriPara', '']",Idol Time PriPara,,Idol Time Pripara,,
89,Chi's Sweet Home (2016),こねこのチー ポンポンらー大冒険,Chi's Sweet Adventure,,Chi: Mon Chaton Saison 1,['TV'],51,Finished Airing,"Oct 2, 2016 to Sep 24, 2017",['Fall 2016'],Sundays at 07:00 (JST),['Half H.P Studio'],"None found,",['Marza Animation Planet'],['Manga'],,,,12 min. per ep.,G - All Ages,6.84,#5140,#7531,"7,615",22,2132,"The combined 22nd and 23rd issue of Kodansha's Morning magazine, which will go on sale on April 28, has announced a new 3D CG anime of Kanata Konami's slice-of-life manga Chi's Sweet Home.","[""Prequel (TV) Chi's Sweet Home: Atarashii Ouchi"", 'Sequel (TV) Koneko no Chi: Ponponra Dairyokou', ""Adaptation (Manga) Chi's Sweet Home"", 'Adaptation (Manga) Kyou no Koneko no Chi']",Koneko no Chi: Ponponra Daibouken,['Pets'],,['Slice of Life'],
90,Maruko-chan,ちびまる子ちゃん,Little Miss Maruko,,,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,,['Shoujo'],23 min.,G - All Ages,7.34,#2626,#7920,"6,761",62,2180,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),['School'],Chibi Maruko-chan,['Comedy'],
91,,フューチャーカード バディファイトX,Future Card Buddyfight X,Future Card Buddyfight X,Future Card Buddyfight X,['TV'],52,Finished Airing,"Apr 1, 2017 to Mar 31, 2018",['Spring 2017'],Saturdays at 08:00 (JST),"['Dentsu', 'Bushiroad', 'TV Aichi']","None found,","['Xebec', 'OLM']",Card game,,,,23 min. per ep.,PG - Children,6.61,#6455,#8811,"5,195",15,2513,The fourth season of Future Card Buddyfight.,"['Prequel (TV) Future Card Buddyfight Triple D', 'Sequel (TV) Future Card Buddyfight Battsu: All-Star Fight']",Future Card Buddyfight Battsu,['Strategy Game'],Future Card Buddyfight X,,
92,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",それいけ！アンパンマン,,,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,['Kids'],24 min.,PG - Children,6.58,#6585,#9186,"4,605",31,1737,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,,,,
93,Kamisama Minarai: Himitsu no Kokotama,かみさまみならい ヒミツのここたま,,,,['TV'],139,Finished Airing,"Oct 1, 2015 to Jun 28, 2018",['Fall 2015'],Thursdays at 17:55 (JST),"['TV Tokyo', 'Lantis']","None found,",['OLM'],Original,"['Fantasy', 'Slice of Life']",,['Kids'],24 min. per ep.,PG - Children,6.30,#8263,#9635,"3,969",16,1017,"Cocotama are tiny gods born from the thoughts and feelings of objects that people use with great care. The fact that Cocotama wear part of the egg they hatch out of as underwear is proof that they are still apprentices. The Cocotama use a mysterious magic, and they train hard to be of use to humans and to become full gods. They live inside human houses and stealthily move around to help humans find things they have lost, although they make many mistakes. (Source: ANN)","['Sequel (TV) Kirakira Happy★Hirake! Cocotama', '']",Kamisama Minarai: Himitsu no Cocotama,,,,
94,"Puripuri Chii-chan!!, Puri Puri",プリプリちぃちゃん!!,PriPri Chi-chan!!,PriPri Chi-chan!!,PriPri Chi-chan!!,['TV'],36,Finished Airing,"Apr 15, 2017 to Dec 16, 2017",['Spring 2017'],Saturdays at 06:30 (JST),"None found,","None found,",['OLM'],['Manga'],"['Comedy', 'Sci-Fi']",,['Shoujo'],12 min. per ep.,G - All Ages,6.38,#7824,#9655,"3,953",11,1314,"The story revolves around a girl named Yuuka, who encounters a being from the depths of the Earth named Chii-chan (a pun of chiteijin, the Japanese word for underground-dweller), and an alien named Ucchan (a pun of uchuujin or alien). The story follows their heartwarming and chaotic everyday lives together.","['Adaptation (Manga) PriPri Chii-chan!!', '']",PriPri Chii-chan!!,,PriPri Chi-chan!!,,
95,,ぼのぼの,Bono Bono,Bono Bono,Bono Bono,['TV'],Unknown,Currently Airing,"Apr 2, 2016 to ?",['Spring 2016'],Saturdays at 04:52 (JST),"['Fuji TV', 'Glovision']","None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,,5 min.,G - All Ages,6.37,#7882,#10237,"3,281",19,759,"Based on the original comic BONO BONO by Mikio Igarashi that has seen over 9,000,000 total copies printed, this is the definitive animated version of the emotionally soothing character-driven series that will make you ask yourself the philosophical question, ""What are living things?"" while laughing at heartwarming gags and being entertained by the interactions of amusing forest friends Bonobono the young sea otter, Chipmunk, Fishing Cat, and more. Enjoy the easygoing days and minor misadventures of Bonobono and his friends! (Source: Fuji Creative)","['Adaptation (Manga) Bonobono', 'Adaptation (Manga) Bono-chan']",Bonobono (TV 2016),['Anthropomorphic'],Bono Bono,,
96,,100%パスカル先生 (TV),100% Teacher Pascal,100% Teacher Pascal,100% Teacher Pascal,['TV'],36,Finished Airing,"Apr 15, 2017 to Dec 16, 2017",['Spring 2017'],Saturdays at 06:30 (JST),"['Dentsu', 'Shogakukan-Shueisha Productions', 'Asatsu DK', 'Mainichi Broadcasting System', 'Nippon Columbia', 'Shogakukan', 'Sumitomo']","None found,",['OLM'],['Manga'],,,['Kids'],12 min. per ep.,PG - Children,5.73,#11214,#10291,"3,226",4,1360,"The story centers around an elementary school teacher who is so stupid that he cannot even write his own name. He does whatever he likes in his classroom. Plus, by all appearances, he is not human. (Source: ANN)","['Adaptation (Manga) 100% Pascal-sensei', '']",100% Pascal-sensei (TV),,100% Teacher Pascal,['Comedy'],
97,,ヘボット!,HEYBOT!,,,['TV'],50,Finished Airing,"Sep 18, 2016 to Sep 24, 2017",['Fall 2016'],Sundays at 07:00 (JST),['Bandai'],"None found,",['Bandai Namco Pictures'],Original,"['Comedy', 'Sci-Fi']",,['Kids'],23 min. per ep.,PG - Children,6.08,#9513,#10619,"2,937",22,1041,"The anime takes place on the screw-shaped island country of Nejigajima and follows the two ""Bokyabots"" Hebot and the Yurui Prince Nejiru as they collect different ""Bokya Neji"" screws. When the Bokyabots wear the Bokya Neji screws on their heads, they're able to compete in ""Bokya Battles,"" battles for who can think up and tell the best jokes. (Source: ANN)",[],Heybot!,['Parody'],,,
98,,リルリルフェアリル ~魔法の鏡~,,,,['TV'],51,Finished Airing,"Apr 7, 2017 to Mar 30, 2018",['Spring 2017'],Fridays at 17:55 (JST),['Sotsu'],"None found,",['Studio Deen'],Original,"['Fantasy', 'Slice of Life']",,,23 min. per ep.,G - All Ages,6.63,#6334,#11310,"2,394",5,538,Second Season of Rilu Rilu Fairilu: Yousei no Door.,"['Prequel (TV) Rilu Rilu Fairilu: Yousei no Door', 'Sequel (TV) Oshiete Mahou no Pendulum: Rilu Rilu Fairilu']",Rilu Rilu Fairilu: Mahou no Kagami,,,,
99,,おじゃる丸,Prince Mackaroo,,,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,['Kids'],10 min.,G - All Ages,6.39,#7746,#11553,"2,224",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,,
100,,플라워링 하트 2,Flowering Heart 2,,,['TV'],26,Finished Airing,"May 29, 2017 to Nov 21, 2017",['Spring 2017'],Mondays at 08:30 (JST),"['EBS', 'Iconix Entertainment']","None found,","None found,",Original,,,['Kids'],11 min. per ep.,G - All Ages,6.05,#9669,#11820,"2,050",11,514,The second season of Flowering Heart.,"['Prequel (TV) Flowering Heart', '']",Flowering Heart 2,,,,
101,,デュエル・マスターズ (2017),,,,['TV'],51,Finished Airing,"Apr 2, 2017 to Mar 25, 2018",['Spring 2017'],Sundays at 08:30 (JST),"None found,","None found,",['Ascension'],Original,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],24 min. per ep.,PG-13 - Teens 13 or older,5.62,#11727,#12044,"1,917",3,289,"In the new series' story, the balance of the Creature World is starting to crumble. A talking deck case named Decky comes to the human world to search for a Duel Master to preserve equilibrium. There he sees Joe's power to create creatures. (Source: ANN)","['Prequel (TV) Duel Masters VSRF', 'Sequel (TV) Duel Masters!', 'Adaptation (Manga) Duel Masters', '']",Duel Masters (2017),,,,
102,Neko no Rob,猫のロブ,,,,['TV'],10,Finished Airing,"May 6, 2017 to Mar 16, 2018",['Spring 2017'],Saturdays at 06:30 (JST),"['Gakken', 'MMDGP', 'Anime Beans']","None found,",['Kachidoki Studio'],Original,"['Comedy', 'Slice of Life']",,,1 min. per ep.,G - All Ages,[],#20616,#13229,"1,324",0,,"The series stars a cat with a lack of energy who speaks while lying down, yet has a thorough personality. He thinks various things and has fun watching humans.",[],Neko no Robu,,,,
