,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Themes,Genre,German,Spanish,French,Demographics
233,映画おしりたんてい シリアーティ,,['Movie'],1,Finished Airing,"Mar 18, 2022",,,"None found,","None found,","None found,",Picture book,"['Action', 'Comedy', 'Fantasy', 'Mystery']",['Anthropomorphic'],['Kids'],1 hr. 13 min.,PG - Children,[],#18408,#22388,158,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Oshiri Tantei Movie 4: Shiriarty,,,,,,,
234,熊出没·重返地球,Boonie Bears: Back to Earth,['Movie'],1,Finished Airing,"Feb 1, 2022",,,"None found,","None found,",['Fantawild Animation'],Original,"['Adventure', 'Comedy', 'Sci-Fi']",,['Kids'],1 hr. 39 min.,PG - Children,[],#15852,#22304,160,0,,"Bramble has always dreamed of becoming a great hero in order to gain recognition from everyone, especially his older brother, Briar. A piece of the alien nucleus that fell from the sky broke the peace of Pine Tree Mountain, but unexpectedly, Bramble merged with the alien nucleus and became a bear with alien wisdom and energy. However, this also brought about the pursuit of ""alien"" Abu who wanted to reclaim the nucleus. (Source. Wikipedia)",[],Xiong Chumo: Chong Fan Di Qiu,Boonie Bears Movie 7,"['Anthropomorphic', 'Space']",,,,,
235,映画しまじろう しまじろうとキラキラおうこくのおうじさま,,['Movie'],1,Finished Airing,"Mar 11, 2022",,,"None found,","None found,",['The Answer Studio'],Other,,['Anthropomorphic'],['Kids'],1 hr.,G - All Ages,[],#14211,#22418,157,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Shimajirou no Wow! Movie 10: Shimajirou to Kirakira Oukoku no Oujisama,,,,,,,
236,向著明亮那方,To the Bright Side,['Movie'],1,Finished Airing,"Jan 15, 2022",,,"None found,","None found,","None found,",Picture book,"['Fantasy', 'Slice of Life']",,,1 hr. 23 min.,PG-13 - Teens 13 or older,[],#15480,#23350,125,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Xiangzhe Mingliang Na Fang,,,,,,,
237,별을 담은 소년,Boy with Stars,['Movie'],1,Finished Airing,"Mar 14, 2022",,,"None found,","None found,",['Studio Yona'],Original,,,,17 min.,PG-13 - Teens 13 or older,[],#19721,#23889,113,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Byeoleul Dameun Sonyeon,,,['Drama'],,,,
238,ほしぞらの水族館,,['Movie'],1,Finished Airing,"Mar 19, 2022",,,"None found,","None found,",['D & D Pictures'],Unknown,,['Space'],['Kids'],25 min.,None,[],#21301,#23755,116,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Hoshizora no Suizokukan,,,['Sci-Fi'],,,,
239,無職転生 ～異世界行ったら本気だす～ エリスのゴブリン討伐,Mushoku Tensei: Jobless Reincarnation - Eris the Goblin Slayer,['Special'],1,Finished Airing,"Mar 16, 2022",,,"['Frontier Works', 'TOHO animation', 'Hakuhodo DY Music & Pictures', 'BS11', 'Egg Firm', 'Kadokawa', 'GREE Entertainment']","None found,",['Studio Bind'],['Light novel'],"['Adventure', 'Drama', 'Fantasy']",,,23 min.,R - 17+ (violence & profanity),7.80,#1042,#1308,"195,547",615,106659,"During their stay in the capital of Milishion, the adventurers of Dead End decide to split up for a day to run their errands. While Rudeus Greyrat has his plans derailed by a troublesome scene, the party's swordswoman, Eris Boreas Greyrat, finds herself with nothing to do. Deciding to embark on an adventure to slay goblins, Eris crosses paths with a cocky but talented mage named Cliff Grimoire. Though Eris refuses his company, Cliff stubbornly ignores her wishes and dares her to explore the perilous forest surrounding the city. Accepting his challenge, Eris ventures into the forest with the mage, where the two encounter something far more repulsive than mere goblins. [Written by MAL Rewrite]","['Adaptation (Manga) Mushoku Tensei: Isekai Ittara Honki Dasu', 'Adaptation (Manga) Mushoku Tensei: Isekai Ittara Honki Dasu - Shitsui no Majutsushi-hen', 'Adaptation (Light Novel) Mushoku Tensei: Isekai Ittara Honki Dasu', '']",Mushoku Tensei: Isekai Ittara Honki Dasu - Eris no Goblin Toubatsu,"Mushoku Tensei: Jobless Reincarnation Special, Mushoku Tensei: Isekai Ittara Honki Dasu Special","['Isekai', 'Reincarnation']",,,,,
240,小林さんちのメイドラゴンＳ ニッポンのおもてなし（アテンドはドラゴンです）,Miss Kobayashi's Dragon Maid S: Japanese Hospitality (The Attendant is a Dragon),['Special'],1,Finished Airing,"Jan 19, 2022",,,"None found,","None found,",['Kyoto Animation'],['Manga'],"['Slice of Life', 'Supernatural']",,,23 min.,PG-13 - Teens 13 or older,7.79,#1069,#2580,"78,551",287,32844,"After Kanna Kamui's escapade to New York leads her to make a new friend named Chloe, Kanna invites her to Japan to go sightseeing. Following their reunion at the airport, Kanna—accompanied by Kobayashi, Tooru, and other friends—takes Chloe around the attractions of Japan, starting with Akihabara. Expertly guided by Tooru, the group enjoys exploring the city before returning home to meet with Saikawa and continue their adventures. As Chloe's final day in Japan draws near, Kobayashi helps set up a farewell party so everyone can enjoy one last event together before Chloe returns to the United States. [Written by MAL Rewrite]",[],Kobayashi-san Chi no Maid Dragon S: Nippon no Omotenashi - Attend wa Dragon desu,Miss Kobayashi's Dragon Maid S Special,,,,,,
241,ありふれた職業で世界最強 ありふれた寄り道で世界最強,Arifureta: From a Detour to the World's Strongest,['Special'],1,Finished Airing,"Mar 23, 2022",,,"None found,","None found,","['asread.', 'studio MOTHER']",['Light novel'],"['Action', 'Adventure', 'Fantasy']",,,23 min.,PG-13 - Teens 13 or older,6.94,#4651,#3256,"51,468",103,22892,Unaired episode included in the first Blu-ray volume.,[],Arifureta Shokugyou de Sekai Saikyou: Arifureta Yorimichi de Sekai Saikyou,Arifureta Shokugyou de Sekai Saikyou 2nd Season Special,"['Harem', 'Isekai']",,,,,
242,ミニドラ,Miss Kobayashi's Dragon Maid S Short Animation Series,['Special'],8,Finished Airing,"Jul 8, 2021 to Jan 19, 2022",,,"None found,","None found,",['Kyoto Animation'],['Manga'],"['Slice of Life', 'Supernatural']",,,1 min. per ep.,PG-13 - Teens 13 or older,7.44,#2193,#3609,"43,031",126,17121,Includes 3 special Mini Dragon episodes released within Kobayashi-san Chi no Maid Dragon S's broadcast period and 5 BD/DVD extras.,[],Mini Dragon Specials,"Mini Dragon EX, Mini Dragon SP",,,,,,
243,僕のヒーローアカデミア THE MOVIE　ワールド ヒーローズ ミッション　≪旅立ち≫,My Hero Academia: World Heroes' Mission - Take-off,['Special'],1,Finished Airing,"Feb 16, 2022",,,"None found,","None found,",['Bones'],['Manga'],,['Super Power'],['Shounen'],5 min.,PG-13 - Teens 13 or older,7.43,#2229,#3994,"35,118",96,13778,"Adaptation of ""No.XXX Hawks: SOOTHE"" side-chapter in the Vol.World Heroes manga which was a special present for movie attendees in Japan and in selected American theaters. Included in the ""Plus Ultra"" version of the film's Blu-ray and DVD release in Japan.",[],Boku no Hero Academia the Movie 3: World Heroes' Mission - Tabidachi,My Hero Academia: World Heroes' Mission,,['Action'],,,,
244,ヴァニタスの手記 2クール目放送直前特番 ～En route pour le Gévaudan～,The Case Study of Vanitas Episode 12.5 – Recap,['TV Special'],1,Finished Airing,"Jan 8, 2022",,,"None found,","None found,",['Bones'],['Manga'],"['Action', 'Fantasy', 'Mystery']",,['Shounen'],23 min.,R - 17+ (violence & profanity),6.93,#4709,#4934,"21,984",92,7799,"Recap of the first 12 episodes narrated by Tomoaki Maeno, with a sneak peek of the second cours.","['Sequel (TV) Vanitas no Karte Part 2', '']",Vanitas no Karte: En Route Pour le Gévaudan,"Vanitas no Karte Episode 12.5, Vanitas no Karte Recap, Memoir of Vanitas Recap, Vanitas no Shuki Recap","['Historical', 'Urban Fantasy', 'Vampire']",,,,,
245,８６―エイティシックス― Special Edition,,['TV Special'],2,Finished Airing,"Nov 28, 2021 to Mar 5, 2022",,,"None found,","None found,",['A-1 Pictures'],['Light novel'],"['Action', 'Drama', 'Sci-Fi']",,,23 min. per ep.,R - 17+ (violence & profanity),6.69,#5938,#5257,"18,851",69,9043,Recap episodes of 86 Part 2.,[],86 Part 2 Recaps,"86 Part 2 Special Edition: Shishite Kai Aru Mono Nareba, 86 Episode 18.5, 86 Eighty-Six Episode 18.5 – If There's Something Worth Dying For, 86 Part 2 Special Edition: Semete Ningen Taran to, 86 Episode 21.5, 86 Eighty-Six Episode 21.5","['Mecha', 'Military']",,,,,
246,本好きの下剋上 ～司書になるためには手段を選んでいられません～,Ascendance of a Bookworm: Re-Ascendance of a Bookworm,['TV Special'],2,Finished Airing,"Mar 29, 2022",,,"None found,","None found,",['Ajia-do'],['Light novel'],,,,23 min. per ep.,PG-13 - Teens 13 or older,6.97,#4543,#6922,"9,435",26,4081,"Recap episodes released before third season, summarizing first two seasons of Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen.",[],Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Recap,"Ascendance of a Bookworm Recap, Ascendance of a Bookworm Episode 26.5","['Isekai', 'Reincarnation']",['Fantasy'],,,,
247,永遠の８３１,Eternal 831,['TV Special'],1,Finished Airing,"Jan 30, 2022",,,['WOWOW'],"None found,",['Craftar Studios'],Original,,,,1 hr. 44 min.,PG-13 - Teens 13 or older,5.20,#12921,#9009,"4,859",7,768,"Today, the world is in turmoil due to an ""unprecedented catastrophe."" Suzushirou, a young man who lives as a newspaper scholarship student in Tokyo, had a secret that no one could tell. An incident that happened in the summer of my third year of high school made it possible for me to stop the time around me regardless of my will. One day, Suzushiro meets a person who can share the secret for the first time. Like myself, Nazuna is a girl who has been hurt in her heart and has been able to stop her time. Suzushiro finds out that she is being used for crimes by her brother Seri, and reaches out impulsively. ""Let's run away with me!"" Can they move the time they have stopped again? (Source: Eien no 831 official site)",[],Eien no 831,,,,,,,
248,ウマ娘 プリティーダービー 1st Anniversary Special Animation,,['Special'],1,Finished Airing,"Feb 22, 2022",,,"None found,","None found,",['Studio Kai'],Game,"['Comedy', 'Sports']",['Anthropomorphic'],,7 min.,PG-13 - Teens 13 or older,7.01,#4335,#9130,"4,679",4,1715,"Initially unveiled on the Pakatube! Channel's ""Paka Live TV Vol.14 1st Anniversary Special!"" stream, a special animation was shown commemorating the 1st anniversary of the Uma Musume: Pretty Derby mobile game starring Kitasan Black and Satono Diamond. The story begins at the entrance ceremony of the Tracen Academy in spring. Kitasan Black, still unaware of her dream, begins to pursue her aspirations with a clean slate, while Satono Diamond attempts to win the GI to fulfill her family's long-cherished wish. No one knows what the outcome of the race will be for both of them as they set off with their hearts full of hope. (Source: Crunchyroll, edited)",[],Uma Musume: Pretty Derby - 1st Anniversary Special Animation,,,,,,,
249,天才王子の赤字国家再生術 ショートドラマ,The Genius Prince's Guide to Raising a Nation Out of Debt: Short Drama Specials,['Special'],4,Finished Airing,"Mar 30, 2022 to Jun 29, 2022",,,"None found,","None found,",['AQUA ARIS'],['Light novel'],"['Comedy', 'Slice of Life']",,,2 min. per ep.,PG-13 - Teens 13 or older,6.48,#7234,#9516,"4,116",8,828,"Extra chibi short dramas written by Tooru Toba featuring the characters of Tensai Ouji no Akaji Kokka Saisei Jutsu, included across the Blu-ray release of the series.","['Prequel (ONA) Tensai Ouji no Akaji Kokka Saisei Jutsu: Short Drama', '']",Tensai Ouji no Akaji Kokka Saisei Jutsu: Short Drama Specials,,,,,,,
250,プリンセス・プリンシパル Crown Handler 第2話 「Revealing Reviews」,Princess Principal: Crown Handler Chapter 2 - Revealing Reviews,['Special'],1,Finished Airing,"Mar 29, 2022",,,"None found,",['Sentai Filmworks'],['Actas'],Original,,['Historical'],,7 min.,R - 17+ (violence & profanity),6.71,#5872,#9673,"3,915",12,955,Short special included with the Princess Principal: Crown Handler Movie 2 Blu-ray release.,[],Princess Principal: Crown Handler Movie 2 - Revealing Reviews,,,['Mystery'],,,,
251,東京24区 第9.5話「Reversal film」,,['TV Special'],1,Finished Airing,"Mar 17, 2022",,,"['Aniplex', 'Movic', 'Nitroplus', 'Nagoya Broadcasting Network', 'BS11', 'ABC Animation']","None found,",['CloverWorks'],Original,"['Mystery', 'Sci-Fi']",['Super Power'],,24 min.,PG-13 - Teens 13 or older,5.78,#11019,#10252,"3,253",5,1145,Recap of the first 9 episodes.,[],Tokyo 24-ku: Reversal Film,"Tokyo 24-ku Episode 9.5, Tokyo 24-ku Recap, Tokyo 24th Ward Recap",,,,,,
252,オッドタクシー オリジナルピクチャードラマ,,['Special'],1,Finished Airing,"Mar 30, 2022",,,"None found,","None found,","None found,",Original,,['Anthropomorphic'],,9 min.,PG-13 - Teens 13 or older,5.85,#10687,#11843,"2,034",1,887,Picture drama included with the Blu-ray release.,[],Odd Taxi Picture Drama,"Odd Taxi: Flauntingly, Odd Taxi: Koremiyogashi ni",,,,,,
253,ヘアピンダブル,,['TV Special'],1,Finished Airing,"Feb 4, 2022",,,"None found,","None found,","['Felix Film', 'Ga-Crew']",Other,"['Action', 'Fantasy']",['Music'],,7 min.,PG-13 - Teens 13 or older,5.16,#12983,#12911,"1,444",5,239,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Hairpin Double,,,,,,,
254,彗星のフロイライン~プロローグ~,,['TV Special'],1,Finished Airing,"Mar 31, 2022",,,['BS Fuji'],"None found,","[""STUDIO6'oN""]",Original,,,,7 min.,PG-13 - Teens 13 or older,5.48,#12166,#14561,920,0,286,"The anime centers on Morita, a boy who is transported to another world and takes on the task of saving it by becoming an idol producer to fairies and demi-humans. (Source: ANN)",[],Suisei no Freyline: Prologue,"Comet Freyline: Prologue, Comet Fraulein: Prologue, Suisei no Fraulein: Prologue","['Idols (Female)', 'Isekai']",['Fantasy'],,,,
255,越後幕府,,['TV Special'],28,Finished Airing,"Mar 19, 2022 to Oct 15, 2022",,,"None found,","None found,","None found,",['Web manga'],"['Comedy', 'Fantasy']",['Historical'],,2 min. per ep.,PG-13 - Teens 13 or older,[],#20482,#19000,343,0,,Short anime that aired as part of Niigata Sogo Television's variety program GataTube (潟ちゅーぶ).,[],Echigo Bakufu,,,,,,,
256,空き缶のツナ,,['TV Special'],Unknown,Currently Airing,"Jan 17, 2022 to ?",,,['NHK'],"None found,",['dwarf'],Original,,,['Kids'],5 min.,G - All Ages,[],#19146,#19440,314,0,,The adventures of a tuna can.,[],Akikan no Tuna,,,['Comedy'],,,,
