,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,French,Theme,German,Spanish,Genre,Demographics
79,,ディスク・ウォーズ：アベンジャーズ,,['TV'],51,Finished Airing,"Apr 2, 2014 to Mar 25, 2015",['Spring 2014'],Wednesdays at 18:30 (JST),['TV Tokyo'],['Marvel Entertainment'],['Toei Animation'],Other,,,['Kids'],22 min. per ep.,PG - Children,5.84,#10752,#7026,"9,095",24,2874,"The story will revolve around how the Avengers—Iron Man, Captain America, Thor, and the Hulk together with the help of Spider-Man and a group of teens—will harness their respective fighting skills and superhuman powers to foil Loki's scheme to take over the world. Marvel Disk Wars: The Avengers will target boys in the 6-12 age group. (Source: Marvel)",[],Marvel Disk Wars: The Avengers,,['Super Power'],,,['Action'],
80,,サザエさん,Mrs. Sazae,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,,24 min.,G - All Ages,6.14,#9131,#7128,"8,793",39,1934,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,,
81,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",忍たま乱太郎,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,,['Kids'],10 min.,G - All Ages,7.08,#4017,#7386,"8,011",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,,,,El Ninja Boy Rantaró,['Comedy'],
82,Maruko-chan,ちびまる子ちゃん,Little Miss Maruko,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,,['Shoujo'],23 min.,G - All Ages,7.34,#2628,#7919,"6,760",62,2180,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),,['School'],,Chibi Maruko-chan,['Comedy'],
83,,ドラゴンコレクション,,['TV'],51,Finished Airing,"Apr 7, 2014 to Mar 30, 2015",['Spring 2014'],Mondays at 08:15 (JST),['Konami'],"None found,",['OLM'],Card game,,,,11 min. per ep.,PG-13 - Teens 13 or older,6.15,#9094,#8398,"5,858",7,2158,"Through an unexpected turn of events, an ordinary elementary school student, Hiro Enryuu, finds himself in the world of the ""Dragon Collection"" game. This is a world called Dragon Earth, where gods, humans, and monsters exist side by side. Those who roam this world using a magic book, called a Grimoire, and cards to summon monsters and search for treasures that bear the powers of dragons are called Dracolle Battlers. Despite his bewilderment, Hiro becomes a Dracolle Battler and, together with the friends he meets there, begins his adventure to become a legendary Dragon Master! (Source: Crunchyroll)","['Adaptation (Manga) Dragon Collection: Ryuu wo Suberumono', '']",Dragon Collection,,['Isekai'],,,['Fantasy'],
84,,テンカイナイト,Tenkai Knights,['TV'],52,Finished Airing,"Apr 5, 2014 to Mar 28, 2015",['Spring 2014'],Unknown,"None found,","None found,",['Bones'],Original,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']","['Mecha', 'Super Power']",['Kids'],24 min. per ep.,G - All Ages,6.45,#7432,#8410,"5,847",34,2589,"Eons ago, a cube–like peaceful planet named Quarton, populated by shape–shifting living bricks called Tenkai, was ravaged by a war between two opposite factions: the Corekai and the Corrupted led by the ruthless warlord Vilius who desired to obtain the source of Tenkai Energy for his own purposes. However, the only ones who were strong enough to defeat him were the Tenkai Knights: Bravenwolf, Tributon, Valorn and Lydendor. Facing defeat, Vilius unleashed the mighty Tenkai Dragon, who was later defeated by the four Knights and its fragments were scattered across the planet. These heroes were never seen again, but the Corrupted have returned more powerful than ever. Now on planet Earth in the year 2034, four teenage humans named Guren, Ceylan, Toxsa, and Chooki find an interdimensional portal to Quarton where they are chosen by the Guardians to become the new generation of Tenkai Knights and prevent Vilius to take control of both worlds. (Source: Wikipedia)",[],Tenkai Knights,Tenkai Knights: Les Chevaliers Tenkai,,Tenkai Knights: Die Tenkai Ritter,Tenkai Knights: Caballeros Tenkai,,
85,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",それいけ！アンパンマン,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,['Kids'],24 min.,PG - Children,6.58,#6589,#9185,"4,603",31,1736,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,,,,,,
86,,忍者ハットリくん （2012年版）,,['TV'],52,Finished Airing,"May 13, 2012 to Feb 16, 2015",['Spring 2012'],Not scheduled once per week,['TV Asahi'],"None found,",['Shin-Ei Animation'],['Manga'],,,,24 min. per ep.,G - All Ages,6.70,#5888,#10331,"3,181",1,1773,Remake of the Ninja Hattori-kun series.,"['Adaptation (Manga) Ninja Hattori-kun', '']",Ninja Hattori-kun (2012),,,,,['Comedy'],
87,,ヒーローバンク,Herobank,['TV'],51,Finished Airing,"Apr 7, 2014 to Mar 30, 2015",['Spring 2014'],Unknown,"['Tokyo Movie Shinsha', 'Sega', 'TMS Music']","None found,",['TMS Entertainment'],Game,,,['Kids'],23 min. per ep.,PG - Children,5.97,#10052,#10485,"3,057",10,924,"In Big Money City, players participate in ""Hero Battles"" using Bankfon Gs, which allows them to rent powerful hero suits and fight battles against other players, receiving power boosts from the system's public domain feature. Kaito Goushou, a young elementary school student who is always eager to help others, ends up hastily signing a contract to rent the powerful unlisted hero suit, ""Enter the Gold,"" from a mysteriously seedy priest named Sennen; however, he soon learns that the suit comes with a debt of 10 billion yen, and Kaito must now clear his dues by winning Hero Battles. (Source: Wikipedia)",[],Hero Bank,,['Strategy Game'],,,,
88,PAC-MAN and the Ghostly Adventures,パックワールド,,['TV'],52,Finished Airing,"Apr 5, 2014 to Apr 25, 2015",['Spring 2014'],Saturdays at 18:30 (JST),['Bandai Namco Entertainment'],"None found,","['OLM Digital', 'Sprite Animation Studios']",Game,"['Adventure', 'Comedy', 'Sci-Fi']",,,25 min. per ep.,PG - Children,5.48,#12192,#10537,"3,003",7,1465,"We follow the daily events of Pac as he saves Pac-World. Together with his friends Cyli and Spiral, Pac and his buds face the issues of being teenagers while also protecting Pac-World from a ghostly army led by the evil Betrayus. Pac-Worlders do not want Betrayus and his ghostly minions returning from the Netherworld and wreaking havoc. So, President Spheros teaches Pac and his pals the legend prophesizing a round yellow Pac-Worlder rescuing the planet. Pac, the only round yellow citizen, is the man for the job. Each adventure follows Pac and his friends as they try to return the ghosts to Netherworld, saving Pac-World. (Source: AniDB)",[],Pac-World,,,"Pac-Man und die Geisterabenteuer - Das Abenteuer beginnt, Teil 1 + 2",,,
89,,ガイストクラッシャー,,['TV'],51,Finished Airing,"Oct 2, 2013 to Oct 1, 2014",['Fall 2013'],Wednesdays at 18:00 (JST),"['TV Tokyo', 'Avex Entertainment', 'Dentsu']","None found,",['Pierrot'],Game,"['Action', 'Fantasy', 'Supernatural']",,,24 min. per ep.,PG - Children,5.83,#10797,#10837,"2,752",6,640,"In the year 2047, mankind discovered a rare metal ore called ""Gaimetal"", which possessed a huge amount of energy, and mining for these strange metal ore begins all over the world. However, in 2075, humankind were been constantly attacked by Gaist, a race of metallic creatures whose bodies were encrusted with Gaimetal, thus forming the GCG (also known as ""Gaist Crusher Garrison""), an organization tasked with dealing against the Gaist. In 2064, the GCG send out mankind's line of defense: the Gaist Crushers, humans who can wear a special Gaimetal armor called ""Gaist Gear"", and battle the Gaist,as well as the threat opposed by a mysterious organization called ""Erasers"". (Source: Wikipedia)",[],Gaist Crusher,,,,,,
90,,オレカバトル,,['TV'],51,Finished Airing,"Apr 7, 2014 to Mar 30, 2015",['Spring 2014'],Mondays at 18:00 (JST),"None found,","None found,","['Xebec', 'OLM']",Game,,,,11 min. per ep.,G - All Ages,5.91,#10405,#10896,"2,702",3,868,"The anime adaptation revolves around a young boy named Faiya Orega who loves Oreca competitions. One day, he is granted the power to summon real Oreca monsters due to the mysterious powers of the treasure chest Pandora. To protect the peace of the Oreca world, Faiya must fight the demon king who threatens the land. (Source: Crunchyroll)",[],Oreca Battle,,['Strategy Game'],,,,
91,Battle Spirits Season 7,最強銀河 究極[アルティメット]ゼロ~バトルスピリッツ~,,['TV'],49,Finished Airing,"Sep 22, 2013 to Sep 21, 2014",['Fall 2013'],Unknown,"['Asatsu DK', 'Nagoya Broadcasting Network']","None found,",['Sunrise'],Card game,,"['Space', 'Strategy Game']",,23 min. per ep.,PG - Children,6.53,#6918,#11147,"2,502",4,938,"In the new, whimsical era of Battle Spirits, cards have become scattered across a colorful galaxy, enticing all ""card questers"" to duke it out in search of the strongest cards. Rei is a flamboyant wanderer who is obsessed with being on top. Accompanied by a small dragon named Mugen and a talking robot named Salt, the self-proclaimed ""Number One Star"" regularly engages in card-gaming mischief through flashy battles. One day, Rei meets Raira and Rikuto April, both of whom seem to have clues on the whereabouts of the ""ultimate"" Battle Spirits card. Together, they embark on a quest to search for the card, clashing with many vibrant personalities along the way. Soon, their adventure catches the attention of the Guild, wily villains who are also set on obtaining the Ultimate Battle Spirits. In contending against the Guild, Rei's status as number one is put to the test—an endeavor that will slowly unveil secrets regarding the fate of the universe. [Written by MAL Rewrite]",[],Saikyou Ginga Ultimate Zero: Battle Spirits,,,,,['Adventure'],
92,,おじゃる丸,Prince Mackaroo,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,['Kids'],10 min.,G - All Ages,6.39,#7752,#11554,"2,223",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,,,,
